periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia;fami_numhermanos;estu_comunidadcampesina;estu_numhijos;estu_horastrabnoremu;fami_posicionhermanos;estu_tiempocasaacole;estu_desplazacolegio
20252;SB11202530021739;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;281065003065;281065003065;81;81065;69260;ARAUCA;MIXTO;MAÑANA;ARAUQUITA;OFICIAL;INSTITUCION EDUCATIVA PEDRO NEL JIMENEZ;I.E. PEDRO NEL JIMENEZ;S;2;A-;3;2;1;S;81;81001;81;81065;Entre 1 y 3 horas;No leo por entretenimiento;ARAUCA;ARAUCA;N;;12/02/2009;F;11;Menos de 10 horas;46.774509;ARAUCA;ARAUQUITA;COLOMBIA;2;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Uno;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 2;0 A 10 LIBROS;1 a 2;Peor;No;No;No;No;No;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);50;35;19;55;31;21;50;234;42;56;46;37;NINGUNO;3;SI;0;;En medio;Menos de 15 minutos;En transporte escolar o particular
20252;SB11202530153191;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO;181736001467;181736001467;81;81736;78089;ARAUCA;MIXTO;MAÑANA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA JOSE EUSTASIO RIVERA;JOSE EUSTASIO RIVERA;S;2;A2;3;3;2;S;81;81736;81;81736;Entre 30 y 60 minutos;No leo por entretenimiento;ARAUCA;ARAUCA;N;;16/01/2009;F;11;0;54.059479;SARAVENA;SARAVENA;COLOMBIA;2;3;COLOMBIA;N;0;;No;1 o 2 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Uno;Educación profesional completa;No sabe;Estrato 3;0 A 10 LIBROS;1 a 2;Igual;No;Si;No;No;Si;Si;Si;No;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);No aplica;46;50;74;53;61;32;49;256;60;55;57;41;NINGUNO;0;NO;0;0;;Menos de 15 minutos;Caminando o en bicicleta
20252;SB11202530040889;ESTUDIANTE;TI;URBANA;N;A;ACADÉMICO;181794000021;181794000021;81;81794;93120;ARAUCA;MIXTO;MAÑANA;TAME;OFICIAL;INSTITUCION EDUCATIVA INOCENCIO CHINCA;INOCENCIO CHINCA;S;2;A-;2;2;1;S;81;81794;81;81794;Entre 1 y 3 horas;30 minutos o menos;ARAUCA;ARAUCA;N;;23/10/2008;M;11;Entre 11 y 20 horas;45.212162;TAME;TAME;COLOMBIA;2;2;COLOMBIA;N;0;;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 3;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;No;No;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);23;20;30;27;20;16;42;209;45;48;41;35;NINGUNO;1;NO;0;Más de 30 horas;En medio;Entre 30 minutos y una hora;Caminando o en bicicleta
20252;SB11202530289415;ESTUDIANTE;PPT;URBANA;N;A;TÉCNICO/ACADÉMICO;181001003202;181001003202;81;81001;19125;ARAUCA;MIXTO;TARDE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA SIMON BOLIVAR;TECNICO SIMON BOLIVAR;S;1;A-;2;2;1;S;81;81001;81;81001;Entre 1 y 3 horas;30 minutos o menos;ARAUCA;ARAUCA;N;;12/11/2007;F;11;0;48.746082;ARAUCA;ARAUCA;VENEZUELA;2;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 2;11 A 25 LIBROS;5 a 6;Igual;No;No;No;No;Si;Si;Si;No;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Trabaja por cuenta propia (por ejemplo plomero, electricista);9;11;33;20;17;6;37;192;46;45;39;30;NINGUNO;2;NO;0;Entre 11 y 20 horas;En medio;Entre 15 y 30 minutos;En transporte escolar o particular
20252;SB11202530397615;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO;181736001491;181736001491;81;81736;805804;ARAUCA;MIXTO;UNICA;SARAVENA;OFICIAL;IE CONCENTRACION DE DESARROLLO RURAL;CONCENTRACION DE DESARROLLO RURAL;S;2;A-;2;2;1;S;81;81736;81;81736;Entre 1 y 3 horas;30 minutos o menos;ARAUCA;ARAUCA;N;;11/11/2009;M;11;;45.17794;SARAVENA;SARAVENA;COLOMBIA;2;2;COLOMBIA;N;0;;;3 a 5 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;;Primaria completa;Primaria incompleta;Estrato 2;0 A 10 LIBROS;;;;;;;Si;;;No;;;38;30;16;30;41;23;47;225;40;48;50;37;NINGUNO;4 o más;SI;0;0;El/La menor;Menos de 15 minutos;En transporte escolar o particular
20252;SB11202530321887;ESTUDIANTE;CC;URBANA;N;A;TÉCNICO;181001001927;181001001927;81;81001;19117;ARAUCA;MIXTO;MAÑANA;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA GENERAL  SANTANDER;SANTANDER BACHILLERATO;S;1;A-;2;1;1;S;81;81001;81;81001;30 minutos o menos;No leo por entretenimiento;ARAUCA;ARAUCA;N;;28/09/2006;M;11;0;39.599304;ARAUCA;ARAUCA;COLOMBIA;2;1;COLOMBIA;N;0;;No;Todos o casi todos los días;Nunca o rara vez comemos eso;1 o 2 veces por semana;;Primaria incompleta;Ninguno;Estrato 3;;3 a 4;Igual;No;No;No;Si;No;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;9;6;5;13;4;20;37;180;33;42;30;36;NINGUNO;1;NO;0;0;El/La menor;Entre 15 y 30 minutos;En bus o transporte público
20252;SB11202530313949;ESTUDIANTE;CC;RURAL;;A;ACADÉMICO;281794004179;281794004179;81;81794;155473;ARAUCA;MIXTO;SABATINA;TAME;OFICIAL;INSTITUCION EDUCATIVA ERNESTO RINCON DUCON;INSTITUCION EDUCATIVA ERNESTO RINCON DUCON - SEDE PRINCIPAL;S;1;A-;2;3;2;S;81;81794;81;81794;Entre 30 y 60 minutos;No leo por entretenimiento;ARAUCA;ARAUCA;N;;02/08/2005;M;26;Más de 30 horas;46.909576;TAME;TAME;COLOMBIA;2;2;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;No Aplica;Secundaria (Bachillerato) incompleta;Estrato 5;0 A 10 LIBROS;7 a 8;Mejor;No;Si;No;No;No;Si;Si;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;15;34;10;27;70;32;39;232;38;48;60;41;NINGUNO;1;SI;0;Menos de 10 horas;En medio;Entre 30 minutos y una hora;En transporte escolar o particular
20252;SB11202530532636;ESTUDIANTE;TI;URBANA;N;A;ACADÉMICO;181736000312;181736000312;81;81736;30593;ARAUCA;MIXTO;MAÑANA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA LA FRONTERA;LA FRONTERA;S;3;B1;4;3;3;S;81;81736;81;81736;Entre 30 y 60 minutos;Entre 30 y 60 minutos;ARAUCA;ARAUCA;N;;23/11/2008;F;11;Menos de 10 horas;55.002102;SARAVENA;SARAVENA;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Dos;Educación profesional incompleta;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;5 a 6;;No;Si;No;Si;Si;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);72;90;86;99;89;85;58;331;68;75;69;62;NINGUNO;2;NO;0;0;El/La mayor;Menos de 15 minutos;Otro (burro o caballo, canoa, lancha, etc.)
20252;SB11202530160338;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO;181736002315;181736002315;81;81736;27094;ARAUCA;MIXTO;MAÑANA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL RAFAEL POMBO;TÉCNICO INDUSTRIAL RAFAEL POMBO;S;3;B1;3;4;3;S;81;81736;81;81736;;;ARAUCA;ARAUCA;N;;02/09/2008;F;11;Menos de 10 horas;;SARAVENA;SARAVENA;COLOMBIA;2;;COLOMBIA;N;0;;No;;;;Dos;;;;;1 a 2;Igual;No;No;No;Si;;Si;Si;;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es operario de máquinas o conduce vehículos (taxita, chofer);88;91;88;80;96;86;65;335;69;64;75;63;NINGUNO;0;NO;0;Entre 11 y 20 horas;;Entre 15 y 30 minutos;Caminando o en bicicleta
20252;SB11202530543107;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;281065001411;281065001411;81;81065;153221;ARAUCA;MIXTO;MAÑANA;ARAUQUITA;OFICIAL;I.E. AGUACHICA;I.E. AGUACHICA - SEDE PRINCIPAL;S;2;A-;3;3;2;S;81;81065;81;81065;Entre 1 y 3 horas;No leo por entretenimiento;ARAUCA;ARAUCA;N;;18/12/2007;M;11;Entre 11 y 20 horas;39.935921;ARAUQUITA;ARAUQUITA;COLOMBIA;2;1;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Sin Estrato;0 A 10 LIBROS;3 a 4;Mejor;No;No;No;No;Si;Si;Si;No;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;44;41;13;44;49;35;49;242;39;53;53;42;NINGUNO;0;SI;0;0;;Entre 15 y 30 minutos;En transporte escolar o particular
