periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_fechanacimiento;estu_generacione;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20202;SB11202040532750;ESTUDIANTE;TI;URBANO;;A;TÉCNICO;185250001053;185250001053;85;85250;274985;CASANARE;MIXTO;MAÑANA;PAZ DE ARIPORO;OFICIAL;INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS;FRANCISCO JOSE DE CALDAS;S;2;A-;3;3;3;S;85;85250;85;85250;No Navega Internet;Entre 30 y 60 minutos;CASANARE;CASANARE;N;13/07/2003;GENERACION E - GRATUIDAD;F;11;Menos de 10 horas;32.547298;PAZ DE ARIPORO;PAZ DE ARIPORO;COLOMBIA;2;1;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Peor;No;No;No;No;No;Si;No;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;60;81;45;56;93;91;51;292;44;54;68;65
20202;SB11202040026513;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;285410000045;285410000045;85;85410;730499;CASANARE;MIXTO;UNICA;TAURAMENA;OFICIAL;INSTITUCION EDUCATIVA SIGLO XXI;SIGLO XXI;S;3;A1;3;3;2;S;85;85410;85;85410;Entre 30 y 60 minutos;Entre 1 y 2 horas;CASANARE;CASANARE;N;26/12/2003;GENERACION E - GRATUIDAD;M;11;0;44.836674;TAURAMENA;TAURAMENA;COLOMBIA;2;2;COLOMBIA;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;;Tres;;;Estrato 1;26 A 100 LIBROS;3 a 4;Mejor;No;No;No;Si;No;No;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;82;74;65;79;58;70;58;281;49;61;53;55
20202;SB11202040244991;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;285300000112;285300000112;85;85300;736652;CASANARE;MIXTO;UNICA;SABANALARGA;OFICIAL;INSTITUCION EDUCATIVA MANUEL ELKIN PATARROYO (CORREGIMIENTO AGUACLARA);MANUEL ELKIN PATARROYO;S;2;A-;3;3;2;S;85;85440;85;85300;Entre 30 y 60 minutos;Entre 1 y 2 horas;CASANARE;CASANARE;N;07/02/2003;NO;F;11;Menos de 10 horas;36.899837;VILLANUEVA;SABANALARGA;COLOMBIA;2;1;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Primaria incompleta;Primaria completa;Estrato 1;11 A 25 LIBROS;1 a 2;Igual;No;No;No;No;No;Si;Si;No;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es agricultor, pesquero o jornalero;56;53;41;65;49;47;49;250;43;56;51;46
20202;SB11202040412072;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;285250000906;285250000906;85;85250;736553;CASANARE;MIXTO;UNICA;PAZ DE ARIPORO;OFICIAL;INSTITUCION EDUCATIVA SIMON BOLIVAR;SIMON BOLIVAR;S;2;A-;2;1;1;S;85;85250;85;85250;30 minutos o menos;30 minutos o menos;CASANARE;CASANARE;N;20/03/2002;GENERACION E - GRATUIDAD;M;11;Menos de 10 horas;36.610336;PAZ DE ARIPORO;PAZ DE ARIPORO;COLOMBIA;2;1;COLOMBIA;N;0;No;Si, en efectivo y especie;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;30;19;45;27;7;24;42;202;44;46;34;38
20202;SB11202040576908;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;2;A1;3;3;2;S;;;85;85001;Entre 1 y 3 horas;30 minutos o menos;;CASANARE;N;07/12/2002;NO;M;11;Menos de 10 horas;55.245014;;YOPAL;COLOMBIA;2;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Técnica o tecnológica completa;No sabe;Estrato 3;11 A 25 LIBROS;5 a 6;Igual;No;No;No;Si;Si;Si;No;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);No sabe;59;66;79;60;60;71;50;268;54;55;54;55
20202;SB11202040354911;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;185139000099;185139000099;85;85139;740498;CASANARE;MIXTO;TARDE;MANÍ;OFICIAL;INSTITUCION EDUCATIVA LUIS ENRIQUE BARON LEAL;I.E. LUIS ENRIQUE BARON LEAL;S;1;A-;2;2;1;S;85;85139;85;85139;30 minutos o menos;30 minutos o menos;CASANARE;CASANARE;N;29/08/2003;GENERACION E - GRATUIDAD;F;11;Menos de 10 horas;47.018108;MANÍ;MANÍ;COLOMBIA;2;2;COLOMBIA;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Nunca o rara vez comemos eso;Cuatro;Primaria completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;5 a 6;Igual;No;Si;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;24;12;3;8;34;6;40;191;31;38;46;31
20202;SB11202040519314;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;385440000192;185440000134;85;85440;99317;CASANARE;MIXTO;MAÑANA;VILLANUEVA;OFICIAL;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE LOS DOLORES MANARE;EL PARAISO;N;2;A-;3;2;1;S;85;85440;85;85440;Más de 3 horas;Entre 30 y 60 minutos;CASANARE;CASANARE;N;26/10/2003;GENERACION E - GRATUIDAD;M;11;Entre 21 y 30 horas;60.951103;VILLANUEVA;VILLANUEVA;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Dos;Educación profesional completa;No Aplica;Estrato 1;26 A 100 LIBROS;1 a 2;Igual;No;Si;No;No;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;48;27;44;48;25;3;47;214;44;52;43;29
20202;SB11202040283287;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;185001000268;185001000268;85;85001;737726;CASANARE;MIXTO;UNICA;YOPAL;OFICIAL;IE BRAULIO GONZALEZ;BRAULIO GONZALEZ;S;2;A-;3;3;1;S;85;85001;85;85001;Entre 1 y 3 horas;30 minutos o menos;CASANARE;CASANARE;N;15/05/2002;NO;M;11;Entre 21 y 30 horas;49.613426;YOPAL;YOPAL;COLOMBIA;2;2;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Seis o mas;Primaria incompleta;Primaria completa;Estrato 1;11 A 25 LIBROS;7 a 8;Mejor;No;Si;No;No;Si;No;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;44;50;59;50;88;16;46;245;47;52;64;35
20202;SB11202040280626;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;185001003437;185001003437;85;85001;735233;CASANARE;MIXTO;UNICA;YOPAL;OFICIAL;IE EL PARAISO;EL PARAISO;S;2;A-;3;1;3;S;85;85001;85;85001;Entre 30 y 60 minutos;30 minutos o menos;CASANARE;CASANARE;N;24/11/2003;GENERACION E - GRATUIDAD;F;11;0;46.677963;YOPAL;YOPAL;COLOMBIA;2;2;COLOMBIA;N;0;No;No;3 a 5 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 1;11 A 25 LIBROS;7 a 8;Igual;No;Si;No;Si;Si;Si;Si;No;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es agricultor, pesquero o jornalero;73;47;22;60;4;73;55;241;38;55;30;56
20202;SB11202040294453;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;185001000268;185001000268;85;85001;737726;CASANARE;MIXTO;UNICA;YOPAL;OFICIAL;IE BRAULIO GONZALEZ;BRAULIO GONZALEZ;S;3;B1;3;4;3;S;85;85001;85;85001;Más de 3 horas;Más de 2 horas;CASANARE;CASANARE;N;25/06/2003;NO;M;11;0;69.087173;YOPAL;YOPAL;COLOMBIA;2;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Educación profesional completa;Educación profesional completa;Estrato 2;26 A 100 LIBROS;3 a 4;Peor;Si;Si;No;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);95;97;98;91;99;94;65;344;76;65;76;67
