periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia;fami_numhermanos;estu_comunidadcampesina;estu_numhijos;estu_horastrabnoremu;fami_posicionhermanos;estu_tiempocasaacole;estu_desplazacolegio
20252;SB11202530596020;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;286568005083;286568005083;86;86568;742379;PUTUMAYO;MIXTO;UNICA;PUERTO ASÍS;OFICIAL;IE RUR ECOLOGICO EL CUEMBI;COL ECOLOGICO EL CUEMBI;S;2;;3;3;2;S;86;86568;;;30 minutos o menos;30 minutos o menos;PUTUMAYO;;N;;20/12/2008;F;11;0;;PUERTO ASÍS;;COLOMBIA;2;;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;1 o 2 veces por semana;Dos;Primaria incompleta;Secundaria (Bachillerato) incompleta;Sin Estrato;11 A 25 LIBROS;3 a 4;Mejor;No;Si;No;Si;No;No;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;49;;;44;54;51;50;258;;53;55;48;NEGRO AFRODESCENDIENTE;;;;;;;
20252;SB11202530404137;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;286320000395;286320000395;86;86320;751800;PUTUMAYO;MIXTO;UNICA;ORITO;OFICIAL;IE RUR ANTONIO NARIÑO;COL ANTONIO NARIÑO;S;2;A-;2;3;1;S;86;86320;86;86320;Entre 1 y 3 horas;Entre 30 y 60 minutos;PUTUMAYO;PUTUMAYO;N;;17/11/2008;M;11;Entre 11 y 20 horas;48.624325;ORITO;ORITO;COLOMBIA;2;2;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Primaria incompleta;Sin Estrato;0 A 10 LIBROS;5 a 6;Mejor;Si;Si;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;20;30;13;31;57;25;41;226;39;49;55;38;NINGUNO;1;SI;0;0;El/La mayor;Menos de 15 minutos;En transporte escolar o particular
20252;SB11202530495451;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;286568003072;286568003072;86;86568;783845;PUTUMAYO;MIXTO;UNICA;PUERTO ASÍS;OFICIAL;IER PUERTO VEGA;I.E.R. PUERTO VEGA - SEDE PRINCIPAL;S;1;A1;2;2;1;S;86;86568;86;86568;30 minutos o menos;30 minutos o menos;PUTUMAYO;PUTUMAYO;N;;14/08/2008;M;11;Entre 11 y 20 horas;46.22644;PUERTO ASÍS;PUERTO ASÍS;COLOMBIA;2;2;COLOMBIA;N;0;;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;1 a 2;Igual;No;No;No;No;Si;Si;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja por cuenta propia (por ejemplo plomero, electricista);13;17;39;8;32;19;38;203;48;39;47;36;NINGUNO;0;SI;0;Menos de 10 horas;;Entre 30 minutos y una hora;En transporte escolar o particular
20252;SB11202530365217;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;286757000032;286757000032;86;86757;740316;PUTUMAYO;MIXTO;UNICA;SAN MIGUEL;OFICIAL;IE RUR PUERTO EL SOL;C.E.R. PUERTO EL SOL - SEDE PRINCIPAL;S;3;A1;2;3;2;S;86;86865;86;86757;Más de 3 horas;Entre 30 y 60 minutos;PUTUMAYO;PUTUMAYO;N;;20/08/2009;M;11;;60.358498;VALLE DEL GUAMUEZ;SAN MIGUEL;COLOMBIA;2;3;COLOMBIA;N;0;;;3 a 5 veces por semana;Todos o casi todos los días;Todos o casi todos los días;;Técnica o tecnológica incompleta;Primaria completa;Estrato 4;11 A 25 LIBROS;;;;;;;Si;;;Si;;;89;58;66;17;76;39;65;269;57;44;62;43;NINGUNO;1;SI;0;Menos de 10 horas;El/La mayor;Más de una hora;En transporte escolar o particular
20252;SB11202530101368;ESTUDIANTE;TI;URBANA;N;A;ACADÉMICO;186568000567;186568000567;86;86568;19315;PUTUMAYO;MIXTO;MAÑANA;PUERTO ASÍS;OFICIAL;IE ALVERNIA;COL ALVERNIA;S;4;B+;4;4;4;S;86;86568;86;86568;Entre 30 y 60 minutos;Entre 30 y 60 minutos;PUTUMAYO;PUTUMAYO;N;;17/12/2009;F;11;0;62.014404;PUERTO ASÍS;PUERTO ASÍS;COLOMBIA;2;3;COLOMBIA;N;0;;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Postgrado;Educación profesional completa;Estrato 1;MÁS DE 100 LIBROS;3 a 4;Peor;Si;Si;No;Si;Si;No;Si;No;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;99;100;99;96;100;98;76;384;81;72;84;74;NINGUNO;1;NO;0;0;El/La mayor;Menos de 15 minutos;En transporte escolar o particular
20252;SB11202530588046;ESTUDIANTE;CC;URBANA;N;A;TÉCNICO/ACADÉMICO;186865004059;186865004059;86;86865;170274;PUTUMAYO;MIXTO;NOCHE;VALLE DEL GUAMUEZ;OFICIAL;I.E. LA LIBERTAD;I.E. LA LIBERTAD - SEDE PRINCIPAL;S;3;A2;3;3;3;S;86;86865;86;86865;Entre 1 y 3 horas;Entre 1 y 2 horas;PUTUMAYO;PUTUMAYO;N;;05/02/2007;M;26;Entre 11 y 20 horas;50.350548;VALLE DEL GUAMUEZ;VALLE DEL GUAMUEZ;COLOMBIA;2;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Dos;Educación profesional incompleta;Educación profesional incompleta;Estrato 2;0 A 10 LIBROS;5 a 6;Igual;No;No;No;No;Si;Si;Si;No;Es vendedor o trabaja en atención al público;No sabe;87;83;77;71;81;86;64;315;62;61;64;63;NINGUNO;1;NO;0;Entre 11 y 20 horas;El/La mayor;Menos de 15 minutos;En transporte escolar o particular
20252;SB11202530090160;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;186865004059;186865004059;86;86865;160440;PUTUMAYO;MIXTO;MAÑANA;VALLE DEL GUAMUEZ;OFICIAL;I.E. LA LIBERTAD;I.E. LA LIBERTAD - SEDE PRINCIPAL;S;3;A2;4;3;3;S;86;86865;86;86865;Entre 1 y 3 horas;Entre 30 y 60 minutos;PUTUMAYO;PUTUMAYO;N;;18/07/2008;M;11;;55.72686;VALLE DEL GUAMUEZ;VALLE DEL GUAMUEZ;COLOMBIA;2;3;COLOMBIA;N;0;;;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;;Primaria completa;Secundaria (Bachillerato) incompleta;Estrato 3;0 A 10 LIBROS;;;;;;;Si;;;Si;;;90;87;78;86;89;76;66;323;63;66;69;58;NINGUNO;1;SI;0;Menos de 10 horas;El/La mayor;Entre 15 y 30 minutos;En transporte escolar o particular
20252;SB11202530234125;ESTUDIANTE;TI;RURAL;;A;NO APLICA;286568003323;286568000430;86;86568;581074;PUTUMAYO;MIXTO;MAÑANA;PUERTO ASÍS;OFICIAL;I.E.R. SANTA ISABEL;ESC RUR MIX RUR ANCURA;N;2;A-;2;2;1;S;86;86568;86;86568;Más de 3 horas;No leo por entretenimiento;PUTUMAYO;PUTUMAYO;N;;03/01/2009;F;11;0;46.359703;PUERTO ASÍS;PUERTO ASÍS;COLOMBIA;1;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Seis o mas;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;5 a 6;Igual;No;No;Si;Si;Si;Si;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;38;25;15;27;29;19;47;218;40;48;45;36;NINGUNO;0;SI;0;0;;Entre 30 minutos y una hora;En transporte escolar o particular
20252;SB11202530300403;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;186865003745;186865003745;86;86865;724104;PUTUMAYO;MIXTO;UNICA;VALLE DEL GUAMUEZ;OFICIAL;IE CIUDAD LA HORMIGA;COL CIUDAD LA HORMIGA;S;2;A1;3;3;2;S;86;86865;86;86865;Entre 1 y 3 horas;No leo por entretenimiento;PUTUMAYO;PUTUMAYO;N;;13/07/2009;M;11;Entre 11 y 20 horas;63.77737;VALLE DEL GUAMUEZ;VALLE DEL GUAMUEZ;COLOMBIA;2;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Cuatro;Educación profesional incompleta;Educación profesional incompleta;Estrato 3;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;24;49;59;75;43;50;42;255;54;62;51;48;NINGUNO;1;NO;0;0;El/La mayor;Menos de 15 minutos;Caminando o en bicicleta
20252;SB11202530303694;ESTUDIANTE;TI;URBANA;S;A;TÉCNICO/ACADÉMICO;186320000188;186320000188;86;86320;750505;PUTUMAYO;MIXTO;UNICA;ORITO;OFICIAL;IE SAN JOSE DE ORITO;COL SAN JOSE DE ORITO;S;3;A2;3;3;2;S;86;86320;86;86320;Entre 1 y 3 horas;Entre 30 y 60 minutos;PUTUMAYO;PUTUMAYO;N;;22/12/2007;M;11;0;48.380417;ORITO;ORITO;COLOMBIA;2;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Mejor;No;Si;No;No;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;75;75;68;59;86;68;59;297;58;57;67;55;NINGUNO;1;NO;0;Menos de 10 horas;El/La mayor;Entre 15 y 30 minutos;Caminando o en bicicleta
