periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia;fami_numhermanos;estu_comunidadcampesina;estu_numhijos;estu_horastrabnoremu;fami_posicionhermanos;estu_tiempocasaacole;estu_desplazacolegio
20252;SB11202536665335;ESTUDIANTE;TI;URBANA;N;A;ACADÉMICO;363001000051;363001000051;63;63001;101659;QUINDIO;MIXTO;MAÑANA;ARMENIA;NO OFICIAL;BACHILLERATO INTEGRAL DEL QUINDIO;BACHILLERATO INTEGRAL DEL QUINDIO;S;3;B+;3;3;3;S;63;63001;;;;;QUINDIO;;N;;08/09/2007;M;11;;56.176319;ARMENIA;;COLOMBIA;3;3;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;66;90;100;83;84;93;56;333;100;65;66;68;;;;;;;;
20252;SB11202530091847;ESTUDIANTE;TI;URBANA;N;A;ACADÉMICO;163190000377;163190000377;63;63190;13110;QUINDIO;MIXTO;MAÑANA;CIRCASIA;OFICIAL;INSTITUCION EDUCATIVA SAN JOSE  ;SAN JOSE;S;3;B1;4;3;3;S;63;63190;63;63190;30 minutos o menos;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;27/12/2008;F;11;0;62.670063;CIRCASIA;CIRCASIA;COLOMBIA;3;3;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;1 o 2 veces por semana;Dos;Técnica o tecnológica completa;Educación profesional incompleta;Estrato 4;11 A 25 LIBROS;3 a 4;Mejor;No;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;86;88;87;87;80;89;64;325;68;66;64;65;NINGUNO;0;NO;0;Entre 11 y 20 horas;;Menos de 15 minutos;Caminando o en bicicleta
20252;SB11202530332129;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;163212000091;163212000091;63;63212;750190;QUINDIO;MIXTO;UNICA;CÓRDOBA;OFICIAL;INSTITUCION EDUCATIVA CIUDADELA EDUCATIVA JOSE MARIA CORDOBA;CIUDELA JOSE MARIA CORDOBA;S;1;A-;2;2;1;S;63;63130;63;63212;Entre 30 y 60 minutos;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;03/09/2008;F;11;0;38.677956;CALARCÁ;CÓRDOBA;COLOMBIA;2;1;COLOMBIA;N;0;;No;1 o 2 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Dos;Primaria incompleta;Primaria completa;Estrato 2;0 A 10 LIBROS;5 a 6;Igual;No;No;No;Si;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;10;15;34;11;18;30;37;200;46;41;40;40;NINGUNO;2;SI;0;0;El/La mayor;Entre 30 minutos y una hora;En transporte escolar o particular
20252;SB11202530311741;ESTUDIANTE;TI;URBANA;;A;TÉCNICO/ACADÉMICO;163401000298;163401000298;63;63401;707422;QUINDIO;MIXTO;UNICA;LA TEBAIDA;OFICIAL;INSTITUCION EDUCATIVA PEDACITO DE CIELO ALVARO URIBE VELEZ;PEDACITO DE CIELO - SEDE PRINCIPAL;S;2;A-;3;2;2;S;63;63401;63;63401;Entre 1 y 3 horas;30 minutos o menos;QUINDIO;QUINDIO;N;;10/08/2007;F;11;0;41.769455;LA TEBAIDA;LA TEBAIDA;COLOMBIA;2;2;COLOMBIA;N;0;;No;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;No;No;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;26;38;19;57;18;64;43;239;42;57;40;53;NINGUNO;4 o más;NO;0;0;En medio;Menos de 15 minutos;Caminando o en bicicleta
20252;SB11202530595823;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;463594000498;463594000498;63;63594;720177;QUINDIO;MIXTO;UNICA;QUIMBAYA;OFICIAL;INSTITUCION EDUCATIVA RAMON MESSA LONDOÑO;RAMON MESSA LONDOÑO;S;1;A-;2;2;1;S;63;63470;63;63470;Entre 1 y 3 horas;30 minutos o menos;QUINDIO;QUINDIO;N;;04/02/2008;F;11;Menos de 10 horas;55.106121;MONTENEGRO;MONTENEGRO;COLOMBIA;2;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;Nunca o rara vez comemos eso;Tres;No sabe;Primaria incompleta;Estrato 4;11 A 25 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;Si;Si;No aplica;Es agricultor, pesquero o jornalero;12;9;12;9;20;8;38;188;38;40;41;31;NINGUNO;;;;;;;
20252;SB11202530595820;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;463594000498;463594000498;63;63594;720177;QUINDIO;MIXTO;UNICA;QUIMBAYA;OFICIAL;INSTITUCION EDUCATIVA RAMON MESSA LONDOÑO;RAMON MESSA LONDOÑO;S;2;A-;2;2;2;S;63;63470;63;63470;30 minutos o menos;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;13/06/2007;M;11;0;46.400501;MONTENEGRO;MONTENEGRO;COLOMBIA;2;2;COLOMBIA;N;0;;No;Todos o casi todos los días;Nunca o rara vez comemos eso;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;5 a 6;Igual;No;No;No;No;Si;No;No;Si;Es agricultor, pesquero o jornalero;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);40;29;35;32;15;39;47;223;47;49;38;44;NINGUNO;;;;;;;
20252;SB11202530595818;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;463594000498;463594000498;63;63594;720177;QUINDIO;MIXTO;UNICA;QUIMBAYA;OFICIAL;INSTITUCION EDUCATIVA RAMON MESSA LONDOÑO;RAMON MESSA LONDOÑO;S;2;A-;2;1;2;S;63;63470;63;63470;30 minutos o menos;30 minutos o menos;QUINDIO;QUINDIO;N;Embera Chami;12/04/2007;M;11;Menos de 10 horas;35.898262;MONTENEGRO;MONTENEGRO;COLOMBIA;2;1;COLOMBIA;N;0;S;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;1 a 2;Igual;No;No;Si;No;No;Si;No;No;No aplica;Es agricultor, pesquero o jornalero;23;22;37;34;10;31;42;212;47;50;35;41;INDIGENA;;;;;;;
20252;SB11202530557691;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;163001002046;163001002046;63;63001;171363;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INSTITUCION EDUCATIVA RUFINO JOSE CUERVO SUR;RUFINO JOSE CUERVO SUR;S;2;A-;3;2;1;S;63;63001;63;63001;30 minutos o menos;30 minutos o menos;QUINDIO;QUINDIO;N;;26/11/2007;F;26;0;43.55061;ARMENIA;ARMENIA;COLOMBIA;3;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;Si;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;27;30;34;40;32;27;43;227;46;52;47;39;NINGUNO;1;NO;0;Menos de 10 horas;El/La menor;Menos de 15 minutos;En transporte escolar o particular
20252;SB11202530442708;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;263594000375;263594000375;63;63594;689190;QUINDIO;MIXTO;UNICA;QUIMBAYA;OFICIAL;INSTITUCION EDUCATIVA NARANJAL;NARANJAL;S;1;A-;2;1;1;S;63;63594;63;63594;No Navega Internet;Más de 2 horas;QUINDIO;QUINDIO;N;;08/03/2009;M;11;Más de 30 horas;44.041321;QUIMBAYA;QUIMBAYA;COLOMBIA;2;2;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Uno;Secundaria (Bachillerato) completa;Ninguno;Estrato 1;MÁS DE 100 LIBROS;3 a 4;Igual;No;No;No;No;No;Si;No;No;No aplica;No sabe;5;5;1;22;2;22;35;177;28;46;26;37;NINGUNO;0;SI;0;0;;Entre 15 y 30 minutos;En transporte escolar o particular
20252;SB11202530027481;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;163470000291;163470000291;63;63470;669374;QUINDIO;MIXTO;UNICA;MONTENEGRO;OFICIAL;INSTITUCION EDUCATIVA INSTITUTO  MONTENEGRO;INST MONTENEGRO;S;2;A-;3;3;2;S;63;63470;63;63470;Entre 1 y 3 horas;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;07/10/2008;F;11;Entre 11 y 20 horas;49.405857;MONTENEGRO;MONTENEGRO;COLOMBIA;2;2;COLOMBIA;N;0;;Si, en efectivo;1 o 2 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Tres;Primaria completa;Primaria incompleta;Estrato 2;11 A 25 LIBROS;5 a 6;Igual;No;No;No;No;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;40;49;22;45;72;45;47;255;43;53;61;46;NINGUNO;4 o más;NO;0;0;El/La menor;Menos de 15 minutos;Caminando o en bicicleta
