Variable1,Variable2
4.33,2.36
1.45,2.00
3.62,1.64
3.27,2.05
3.00,1.91
3.43,2.60
2.03,2.51
3.23,2.22
1.86,2.07
4.48,1.46
1.02,1.13
3.27,3.19
4.12,2.84
3.10,2.70
2.73,2.31
2.73,1.73
3.13,1.76
4.31,2.10
3.40,1.83
4.26,1.63
3.66,1.82
2.06,1.76
2.20,1.89
2.66,2.16
3.57,1.93
2.97,2.14
2.46,2.35
3.84,2.10
5.39,2.46
2.89,1.82
2.77,1.75
4.13,1.65
2.92,1.74
4.05,1.29
2.64,1.94
3.32,2.23
2.78,2.49
3.31,3.23
1.49,2.31
1.95,1.60
4.99,2.87
1.14,1.89
2.93,0.93
2.95,2.20
3.22,1.00
4.11,2.12
2.94,1.62
3.71,2.46
2.52,2.04
3.83,1.02
3.12,1.05
2.08,2.23
2.86,1.80
2.70,2.42
3.71,1.61
3.29,1.76
5.40,1.63
2.69,1.83
2.56,2.07
3.27,1.19
2.43,1.34
4.24,3.23
4.38,2.17
4.02,2.08
4.66,2.33
2.77,1.44
2.36,2.16
1.77,1.89
4.34,2.01
4.99,2.72
2.71,1.32
2.95,1.76
3.38,2.81
1.88,1.81
3.33,2.57
3.51,2.21
4.34,2.25
2.76,2.03
2.29,2.27
3.94,0.51
4.22,1.97
3.46,2.33
0.70,1.40
2.67,1.60
3.27,1.74
1.29,2.31
4.10,2.28
2.29,1.87
3.55,2.30
4.01,1.85
1.58,1.66
3.53,2.37
5.23,2.06
3.24,1.91
2.59,2.39
3.35,1.90
1.92,1.94
2.61,2.63
3.95,1.49
4.17,1.71
3.13,2.60
1.98,2.08
1.87,1.03
3.99,2.01
2.18,1.21
2.60,2.67
3.40,1.81
2.33,2.05
1.45,2.67
3.50,2.60
2.44,2.43
3.69,1.23
3.15,2.16
2.43,1.82
3.44,1.98
2.00,2.30
3.23,2.12
3.10,2.22
2.71,1.57
2.26,2.55
0.98,2.27
1.56,1.20
1.99,1.87
3.73,1.15
4.67,2.58
2.87,1.85
2.05,2.29
3.07,2.71
2.31,2.27
2.96,1.58
4.90,2.14
3.62,1.47
2.28,2.04
2.42,2.30
3.44,1.61
3.19,2.00
2.84,1.43
2.16,2.11
4.01,1.51
4.22,2.09
1.73,2.16
3.89,2.13
5.32,2.15
3.89,2.01
3.98,0.80
2.14,1.82
3.50,2.09
4.09,2.18
3.21,1.93
3.16,2.41
3.76,2.44
2.76,1.65
2.53,2.17
4.61,2.12
3.49,1.17
5.68,1.45
4.82,1.72
3.96,2.41
3.06,1.92
2.06,1.97
4.10,2.19
2.12,2.58
1.80,2.10
2.11,1.61
4.08,1.77
1.48,1.73
3.76,1.64
4.21,2.50
3.07,2.59
4.86,1.01
4.16,2.30
2.68,2.33
3.40,1.71
4.49,2.07
4.19,1.88
1.36,2.12
2.76,1.37
1.31,2.31
4.27,2.70
3.53,2.00
3.19,2.02
3.79,1.75
1.74,1.89
3.20,1.87
3.03,3.10
3.88,1.31
3.65,0.91
3.62,2.24
3.03,1.52
2.02,2.21
2.39,2.42
2.38,1.82
3.76,1.98
2.83,2.13
3.38,1.96
3.23,1.94
3.41,2.14
3.50,2.40
1.97,1.32
2.73,1.91
3.46,1.39
3.19,2.22
1.37,2.22
4.40,2.06
2.11,1.71
2.93,1.74
-0.20,2.73
2.53,1.91
3.92,2.12
2.51,1.95
3.54,2.28
2.81,2.40
3.79,1.76
1.99,2.16
3.58,1.77
2.56,2.27
3.16,2.68
3.52,3.19
3.53,1.55
2.80,1.95
1.32,2.34
3.06,1.99
2.45,1.45
2.78,1.56
3.01,1.55
1.58,2.05
3.19,2.27
3.06,2.73
2.36,2.55
2.01,1.66
2.59,1.88
4.53,1.68
1.73,2.38
2.98,1.22
3.35,2.47
2.61,2.78
4.55,1.65
3.86,0.95
3.17,1.62
3.97,1.56
4.03,1.60
2.57,1.62
3.22,1.31
3.65,1.66
5.24,1.88
2.24,2.24
2.17,2.30
2.55,2.24
3.06,2.27
2.32,1.67
4.44,2.69
3.92,1.71
4.28,1.84
2.85,2.53
2.89,1.98
2.68,1.67
2.30,1.82
3.15,1.85
1.82,1.93
2.77,2.04
3.45,2.15
2.17,1.59
2.51,1.62
1.41,1.77
1.57,1.37
1.76,1.47
1.87,1.54
2.74,2.41
1.65,2.53
3.52,2.27
2.75,2.10
3.56,2.31
2.66,2.37
4.20,2.49
3.70,1.70
3.00,2.07
2.54,2.11
3.17,1.98
2.85,1.98
3.03,1.82
2.58,1.97
1.88,1.07
2.78,1.41
4.64,2.36
4.25,2.37
2.68,2.25
3.52,1.31
3.78,1.55
1.82,2.37
2.43,1.52
4.19,1.12
2.23,2.56
5.67,2.03
3.91,1.50
5.08,1.70
0.18,2.05
3.14,1.61
3.26,2.66
1.65,2.25
2.02,2.74
3.57,1.74
3.28,1.81
3.65,1.99
4.31,3.33
3.34,2.44
3.38,1.75
3.48,2.49
3.85,2.08
2.85,2.92
3.93,2.69
2.35,2.71
1.54,2.24
3.03,2.08
2.59,2.47
3.54,2.10
5.07,2.52
3.18,1.99
1.01,1.68
2.52,1.59
2.89,2.91
3.51,1.88
1.91,2.48
2.77,2.93
3.16,2.72
3.47,2.04
3.13,2.31
2.97,1.22
1.12,1.64
2.18,2.10
2.87,2.25
2.78,2.28
3.34,2.55
2.10,1.05
2.38,2.36
2.34,1.76
1.71,1.51
2.81,1.13
2.85,2.01
2.80,2.06
2.34,2.64
3.79,1.60
2.92,1.67
4.27,1.94
1.80,2.42
3.61,1.90
2.48,1.79
2.94,1.47
4.81,1.96
5.20,1.77
2.79,1.85
3.91,2.50
3.32,2.57
4.16,2.50
2.58,1.43
1.37,1.27
2.68,1.36
2.89,2.75
2.84,1.05
3.84,1.89
2.50,1.86
1.67,2.01
3.75,1.49
3.57,2.30
2.43,2.50
1.84,2.22
2.86,1.96
3.39,2.11
1.04,1.35
1.92,1.88
3.78,2.53
3.67,2.09
2.03,2.59
3.11,1.38
2.38,2.61
4.43,1.53
5.11,2.46
3.57,1.42
5.15,1.97
2.25,1.78
2.90,1.50
3.61,1.94
1.27,1.56
1.87,1.60
2.45,2.09
2.71,1.91
2.25,2.34
2.72,3.00
2.11,1.98
4.30,1.43
2.05,1.44
2.87,1.85
3.21,2.56
1.84,1.81
3.40,0.74
2.47,1.77
2.39,2.14
4.10,1.73
5.20,1.65
2.94,2.11
1.47,2.23
3.02,2.08
4.04,2.02
4.11,1.33
2.75,2.63
2.92,1.39
1.84,1.62
1.69,2.25
0.18,1.59
1.61,1.31
2.43,1.38
3.48,1.61
2.45,2.42
3.27,2.06
2.97,1.44
3.30,3.06
2.74,1.50
1.48,1.04
2.66,1.73
4.05,1.96
3.66,2.31
4.20,1.85
3.97,2.23
1.94,1.49
3.42,1.84
0.79,2.13
3.26,2.10
4.53,1.80
1.46,2.32
3.15,2.30
3.65,2.07
2.45,1.97
2.84,1.77
3.16,1.94
3.05,1.45
2.71,1.43
1.94,2.69
1.98,2.24
1.32,1.95
4.04,2.39
2.26,2.40
2.63,1.52
1.79,1.00
3.47,2.39
4.67,1.82
2.67,1.72
3.31,2.08
1.49,2.24
3.57,2.13
2.76,1.04
3.10,1.95
2.53,2.03
2.78,2.04
2.88,1.77
1.89,1.38
3.34,1.98
3.41,2.22
2.87,2.96
2.50,2.03
2.49,1.82
1.97,2.34
2.47,2.33
4.06,1.99
2.47,2.15
3.57,2.32
1.67,2.75
2.12,1.31
3.62,1.83
3.11,2.11
4.72,2.07
3.47,1.83
2.30,2.43
3.59,2.79
2.23,2.19
3.77,1.17
1.73,2.25
3.23,1.68
3.91,1.55
1.56,2.04
3.13,2.47
3.22,2.42
2.03,2.43
1.96,2.51
2.80,2.00
2.59,1.94
2.68,1.27
2.17,1.69
3.27,2.26
2.69,2.19
3.45,1.85
0.57,2.02
4.45,1.73
3.74,1.65
2.34,3.06
2.93,1.53
4.15,2.16
3.39,1.05
2.66,2.03
2.84,1.49
2.67,2.72
2.61,2.32
9.62,3.50
8.54,3.40
8.39,2.74
7.49,3.48
6.79,3.59
8.32,2.53
8.11,2.39
7.44,3.76
8.11,4.58
9.56,3.55
8.18,4.35
6.98,2.07
7.92,3.31
8.10,3.15
8.48,3.06
8.38,3.26
7.70,2.40
7.43,3.39
7.93,4.52
8.14,4.60
7.40,3.16
7.32,3.00
8.62,2.87
7.98,3.52
9.29,2.51
7.55,2.72
8.09,2.62
8.34,3.82
7.44,4.49
7.32,3.49
8.23,4.67
7.77,3.18
8.41,3.83
7.98,4.55
7.40,2.41
8.11,2.41
7.17,4.19
8.58,1.29
8.60,3.95
7.37,4.03
7.12,2.60
7.90,3.39
8.24,3.18
7.49,4.23
8.40,2.57
7.66,4.13
8.39,2.28
7.77,3.82
6.82,2.31
