periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510024337;ESTUDIANTE;TI;URBANO;N;A;;350001007361;350001007361;50;50001;156802;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;LICEO CRISTIANO LOS ANDES;LICEO CRISTIANO LOS ANDES;S;A-;S;50;50001;50;50001;META;META;Ninguno;03/07/1997;M;26;63.851776;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica incompleta;Técnica o tecnológica incompleta;Estrato 3;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;24;193;39;43;39;48
20151;SB11201510115293;ESTUDIANTE;CR;URBANO;;A;ACADÉMICO;550711000002;550350000002;50;50711;148833;META;MIXTO;SABATINA;VISTA HERMOSA;NO OFICIAL;COLEGIO ANTONIO NARIÑO;COLEGIO ANTONIO NARIÑO - SEDE PRINCIPAL;S;A-;S;50;50313;50;50711;META;META;Ninguno;19/05/1996;F;26;37.407932;GRANADA;VISTA HERMOSA;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;No;60;266;43;58;46;52
20151;SB11201510090207;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;150001004621;150001004621;50;50001;172734;META;MIXTO;SABATINA;VILLAVICENCIO;OFICIAL;INSTITUCION EDUCATIVA COL. GUILLERMO NIÑO MEDINA;INSTITUCION EDUCATICA COLEGIO GUILLERMO NIÑO MEDINA;S;A-;S;50;50001;50;50001;META;META;Ninguno;08/04/1996;F;26;43.598034;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 2;0 A 10 LIBROS;Tres;No;No;No;No;Si;33;175;41;33;37;35
20151;SB11201510089544;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;350001007093;350001007093;50;50001;164277;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;INSTITUO MAYOR DEL META;INSTITUO MAYOR DEL META - SEDE PRINCIPAL;S;A-;S;50;50001;50;50001;META;META;Ninguno;28/01/1998;F;26;56.978344;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;41;208;42;48;34;43
20151;SB11201510091522;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;350001002890;350001002890;50;50001;92262;META;MIXTO;NOCHE;VILLAVICENCIO;NO OFICIAL;COLEGIO LICEO BOLIVAR;COLEGIO LICEO BOLIVAR;S;A-;S;50;50313;50;50223;META;META;Ninguno;25/01/1999;F;26;48.467106;GRANADA;CUBARRAL;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;Cuatro;No;Si;No;Si;Si;49;228;45;46;35;53
20151;SB11201510091314;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;350001007271;350001007271;50;50001;154674;META;MIXTO;TARDE;VILLAVICENCIO;NO OFICIAL;COLEGIO SYSPRO;COLEGIO SYSPRO;S;A-;S;50;50001;50;50001;META;META;Ninguno;25/11/1997;M;26;57.49025;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 4;11 A 25 LIBROS;Cuatro;Si;Si;Si;Si;Si;57;278;47;48;56;64
20151;SB11201510087911;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;350001007093;350001007093;50;50001;164277;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;INSTITUO MAYOR DEL META;INSTITUO MAYOR DEL META - SEDE PRINCIPAL;S;A1;S;50;50001;50;50001;META;META;Ninguno;18/09/1998;M;26;65.746857;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 3;11 A 25 LIBROS;Cuatro;Si;Si;Si;Si;Si;66;289;58;49;61;55
20151;SB11201510092855;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;350001007239;350001007239;50;50001;152454;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;COLEGIO INSCEPIT;COLEGIO INSCEPIT;S;A1;S;50;50001;50;50001;META;META;Ninguno;19/12/1997;F;26;62.941936;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica incompleta;Técnica o tecnológica completa;Estrato 3;0 A 10 LIBROS;Cinco;Si;Si;Si;Si;Si;42;235;50;48;45;52
20151;SB11201510071566;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;350001007093;350001007093;50;50001;175281;META;MIXTO;TARDE;VILLAVICENCIO;NO OFICIAL;INSTITUO MAYOR DEL META;INSTITUO MAYOR DEL META - SEDE PRINCIPAL;S;A-;S;50;50001;50;50001;META;META;Ninguno;04/08/1998;F;26;58.487518;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Primaria completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;Cuatro;No;Si;Si;Si;Si;44;229;43;51;47;42
20151;SB11201510023370;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;350001006607;350001006607;50;50001;88146;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;INSTITUTO POLITECNICO AGROINDUSTRIAL;INSTITUTO POLITECNICO AGROINDUSTRIAL;S;A-;S;50;50001;50;50001;META;META;Ninguno;07/10/1997;F;26;57.421547;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Educación profesional incompleta;Técnica o tecnológica completa;Estrato 3;26 A 100 LIBROS;Cuatro;No;Si;No;Si;No;49;230;47;42;47;46
20151;SB11201510080249;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;350001006933;350001006933;50;50001;127944;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;GIMNASIO INTERACTIVO KAIZEN;GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL;S;A-;S;50;50001;50;50001;META;META;;13/04/1998;M;26;58.916351;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 3;11 A 25 LIBROS;Tres;No;Si;Si;Si;Si;48;225;45;48;56;28
20151;SB11201510080226;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;350001006933;350001006933;50;50001;127944;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;GIMNASIO INTERACTIVO KAIZEN;GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL;S;A-;S;50;50001;50;50001;META;META;Ninguno;24/08/1998;M;26;57.006718;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 2;0 A 10 LIBROS;Cuatro;Si;Si;Si;Si;Si;42;244;40;50;55;51
20151;SB11201510086746;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;350001007093;350001007093;50;50001;164277;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;INSTITUO MAYOR DEL META;INSTITUO MAYOR DEL META - SEDE PRINCIPAL;S;A-;S;50;50001;50;50001;META;META;Ninguno;29/12/1997;M;26;62.092667;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;32;185;41;41;39;35
20151;SB11201510111571;ESTUDIANTE;CC;URBANO;;A;;350001007760;350001007760;50;50001;190926;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;INSTITUTO CENTRAL SUPERIOR;INSTITUTO CENTRAL SUPERIOR - SEDE PRINCIPAL;S;A-;S;50;50001;50;50001;META;META;Ninguno;01/03/1998;M;26;53.820141;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;Cuatro;Si;Si;Si;Si;Si;44;221;38;51;50;34
20151;SB11201510115262;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;150001004621;150001004621;50;50001;172734;META;MIXTO;SABATINA;VILLAVICENCIO;OFICIAL;INSTITUCION EDUCATIVA COL. GUILLERMO NIÑO MEDINA;INSTITUCION EDUCATICA COLEGIO GUILLERMO NIÑO MEDINA;S;A-;S;50;50001;50;50001;META;META;Ninguno;26/12/1995;M;26;42.681194;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) incompleta;Ninguno;Estrato 1;11 A 25 LIBROS;Cuatro;No;No;No;Si;Si;38;220;39;43;56;41
20151;SB11201510113701;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;350001006852;350001006852;50;50001;106435;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;LICEO REPUBLICA DE COLOMBIA;LICEO REPUBLICA DE COLOMBIA;S;A1;S;50;50001;50;50001;META;META;Ninguno;03/06/1992;F;26;47.445133;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;Dos;No;Si;No;No;No;38;214;50;43;45;43
20151;SB11201510115304;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;550711000002;550350000002;50;50711;148833;META;MIXTO;SABATINA;VISTA HERMOSA;NO OFICIAL;COLEGIO ANTONIO NARIÑO;COLEGIO ANTONIO NARIÑO - SEDE PRINCIPAL;S;A-;S;50;50313;50;50711;META;META;Ninguno;21/04/1997;M;26;35.976902;GRANADA;VISTA HERMOSA;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;No;33;176;35;41;36;31
20151;SB11201510112655;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;350001006678;350001006678;50;50001;114405;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;COL SEMIPRECENCIAL SANTA CRUZ;COL SEMIPRECENCIAL SANTA CRUZ;S;A1;S;50;50001;50;50001;META;META;Ninguno;24/02/1996;M;26;57.152672;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;Cinco;Si;Si;Si;Si;Si;58;299;49;67;59;59
20151;SB11201510078505;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;350001006852;350001006852;50;50001;106435;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;LICEO REPUBLICA DE COLOMBIA;LICEO REPUBLICA DE COLOMBIA;S;A-;S;50;50001;50;50001;META;META;Ninguno;11/02/1998;M;26;53.580505;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;Tres;Si;Si;Si;Si;No;54;263;41;58;51;51
