periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia
20241;SB11202410095152;ESTUDIANTE;TI;URBANO;;A;;323001800170;323001800170;23;23001;809509;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;INSTITUCION EDUCATIVA ATENAS;INSTITUCION EDUCATIVA ATENAS - SEDE PRINCIPAL;S;1;A-;2;2;1;N;23;23001;23;23001;;;CORDOBA;CORDOBA;N;;08/11/2006;F;26;;;MONTERÍA;MONTERÍA;COLOMBIA;2;;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;5;7;8;12;16;2;35;184;37;43;41;28;NINGUNO
20241;SB11202410068912;ESTUDIANTE;CC;URBANO;;A;;323807005581;323807005581;23;23807;191734;CORDOBA;MIXTO;SABATINA;TIERRALTA;NO OFICIAL;CORPORACION EDUCATIVA NEWTON;INSTITUCION EDUCATIVA NEWTON - SEDE PRINCIPAL;S;1;A-;2;2;1;N;23;23001;23;23807;Entre 1 y 3 horas;Entre 1 y 2 horas;CORDOBA;CORDOBA;N;;20/07/2003;F;26;Entre 11 y 20 horas;42.320141;MONTERÍA;TIERRALTA;COLOMBIA;2;2;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;Nunca o rara vez comemos eso;Dos;Primaria incompleta;Primaria completa;Sin Estrato;11 A 25 LIBROS;3 a 4;Mejor;Si;No;No;No;No;Si;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;16;14;16;12;21;13;40;206;43;43;44;37;NINGUNO
20241;SB11202410014838;ESTUDIANTE;TI;URBANO;;B;;323001005778;323001005778;23;23001;79657;CORDOBA;MIXTO;COMPLETA;MONTERÍA;NO OFICIAL;COLEGIO BRITANICO DE MONTERIA MS S.A.S;COLEGIO BRITANICO DE MONTERIA MS S.A.S - SEDE PRINCIPAL;S;2;B1;3;3;3;S;23;23001;23;23001;Entre 1 y 3 horas;30 minutos o menos;CORDOBA;CORDOBA;N;;22/02/2006;M;11;Menos de 10 horas;71.127785;MONTERÍA;MONTERÍA;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Postgrado;Educación profesional completa;Estrato 5;;3 a 4;Igual;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);46;56;71;54;54;61;55;302;78;61;60;60;NINGUNO
20241;SB11202410091255;ESTUDIANTE;CC;URBANO;;A;;323001009633;323001009633;23;23001;663260;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE - SEDE PRINCIPAL;S;1;A-;2;2;1;N;23;23001;23;23001;Más de 3 horas;Entre 1 y 2 horas;CORDOBA;CORDOBA;N;;30/08/2005;F;26;0;47.930092;MONTERÍA;MONTERÍA;COLOMBIA;3;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 4;0 A 10 LIBROS;5 a 6;Igual;No;No;No;No;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;3;5;10;7;11;5;33;177;39;39;37;31;NINGUNO
20241;SB11202410003632;ESTUDIANTE;TI;URBANO;;B;;323001009404;323001009404;23;23001;612044;CORDOBA;MIXTO;MAÑANA;MONTERÍA;NO OFICIAL;GEORGE´S NOBLE SCHOOL;CENTRO EDUCATIVO GEORGE´S NOBLE SCHOOL - SEDE PRINCIPAL;S;2;B1;3;3;3;S;23;23001;23;23001;Entre 1 y 3 horas;30 minutos o menos;CORDOBA;CORDOBA;N;;15/01/2007;F;11;0;61.921921;MONTERÍA;MONTERÍA;COLOMBIA;4;3;COLOMBIA;N;0;;No;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 4;0 A 10 LIBROS;5 a 6;Igual;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja en el hogar, no trabaja o estudia;41;52;70;51;46;59;52;295;78;61;57;60;NINGUNO
20241;SB11202410039275;ESTUDIANTE;CC;URBANO;;A;;323079090658;323079090658;23;23079;125377;CORDOBA;MIXTO;SABATINA;BUENAVISTA;NO OFICIAL;INSTITUCION EDUCATIVA NEWTON;INSTITUCION EDUCATIVA NEWTON - SEDE PRINCIPAL;S;1;A-;2;2;1;N;23;23466;23;23466;Entre 1 y 3 horas;30 minutos o menos;CORDOBA;CORDOBA;N;;12/07/1976;F;26;Menos de 10 horas;40.345932;MONTELÍBANO;MONTELÍBANO;COLOMBIA;2;1;COLOMBIA;N;0;;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Uno;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;1 a 2;Igual;No;No;No;No;Si;Si;No;Si;No sabe;No aplica;11;14;11;13;23;18;38;207;39;43;45;40;NINGUNO
20241;SB11202410091757;ESTUDIANTE;TI;URBANO;;A;;323162800047;323162800047;23;23162;733675;CORDOBA;MIXTO;SABATINA;CERETÉ;NO OFICIAL;COLEGIO HUMANISTA ERASMO DE ROTTERDAM;COLEGIO HUMANISTA ERASMO DE ROTTERDAM - SEDE PRINCIPAL;S;2;A1;3;2;2;N;23;23001;23;23162;Entre 30 y 60 minutos;30 minutos o menos;CORDOBA;CORDOBA;N;;11/09/2007;M;26;Más de 30 horas;54.916161;MONTERÍA;CERETÉ;COLOMBIA;2;3;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;5 a 6;Igual;Si;Si;No;Si;Si;Si;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja por cuenta propia (por ejemplo plomero, electricista);35;32;26;32;24;42;50;250;49;53;45;52;NINGUNO
20241;SB11202410091742;ESTUDIANTE;CC;URBANO;;A;;323162800047;323162800047;23;23162;733675;CORDOBA;MIXTO;SABATINA;CERETÉ;NO OFICIAL;COLEGIO HUMANISTA ERASMO DE ROTTERDAM;COLEGIO HUMANISTA ERASMO DE ROTTERDAM - SEDE PRINCIPAL;S;2;A1;1;1;2;N;23;23001;23;23162;Entre 30 y 60 minutos;30 minutos o menos;CORDOBA;CORDOBA;N;;05/01/2006;M;26;0;57.136715;MONTERÍA;CERETÉ;COLOMBIA;2;3;COLOMBIA;N;0;;No;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Dos;Educación profesional completa;Educación profesional completa;Estrato 4;11 A 25 LIBROS;3 a 4;Peor;No;No;No;No;Si;Si;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es vendedor o trabaja en atención al público;23;5;38;1;1;22;44;176;56;25;22;43;NINGUNO
20241;SB11202410091730;ESTUDIANTE;TI;URBANO;;A;;323162800047;323162800047;23;23162;733675;CORDOBA;MIXTO;SABATINA;CERETÉ;NO OFICIAL;COLEGIO HUMANISTA ERASMO DE ROTTERDAM;COLEGIO HUMANISTA ERASMO DE ROTTERDAM - SEDE PRINCIPAL;S;3;A2;3;3;2;N;23;23001;23;23162;Más de 3 horas;No leo por entretenimiento;CORDOBA;CORDOBA;N;;03/01/2007;F;26;0;56.262161;MONTERÍA;CERETÉ;COLOMBIA;2;3;COLOMBIA;N;0;;No;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Dos;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 1;26 A 100 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;No;Si;Es vendedor o trabaja en atención al público;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;53;47;50;39;49;48;57;286;65;56;58;55;NINGUNO
20241;SB11202410091575;ESTUDIANTE;TI;URBANO;;A;;323001009633;323001009633;23;23001;663260;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE - SEDE PRINCIPAL;S;2;A-;2;2;1;N;23;23001;23;23001;;;CORDOBA;CORDOBA;N;;22/07/2006;M;26;;;MONTERÍA;MONTERÍA;COLOMBIA;3;;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;20;15;8;21;15;16;42;209;37;48;40;39;NINGUNO
