periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510006295;ESTUDIANTE;CR;RURAL;S;B;ACADÉMICO;366001004926;366001004926;66;66001;58065;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL LIC FRANCES DE PEREIRA;COL LIC FRANCES DE PEREIRA;S;A2;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;17/12/1996;M;11;71.707039;PEREIRA;PEREIRA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Ninguno;Estrato 6;MÁS DE 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;65;337;66;63;74;68
20151;SB11201510086462;ESTUDIANTE;CC;RURAL;N;A;ACADÉMICO;266001004301;266001004301;66;66001;164160;RISARALDA;MIXTO;SABATINA;PEREIRA;OFICIAL;IE EL PITAL;IE EL PITAL;S;A1;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;28/09/1986;F;26;51.618336;PEREIRA;PEREIRA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Primaria completa;Secundaria (Bachillerato) incompleta;Estrato 2;11 A 25 LIBROS;Tres;No;Si;Si;Si;Si;51;265;50;52;50;60
20151;SB11201510114350;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366170002819;366170002819;66;66170;167569;RISARALDA;MIXTO;SABATINA;DOS QUEBRADAS;NO OFICIAL;INSTITUTO EDUCATIVO SEMBRANDO ALTERNATIVAS;INSTITUTO EDUCATIVO SEMBRANDO ALTERNATIVAS - SEDE PRINCIPAL;S;A1;S;66;66001;66;66170;RISARALDA;RISARALDA;Ninguno;11/05/1996;F;26;58.605736;PEREIRA;DOS QUEBRADAS;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;Dos;Si;Si;Si;Si;Si;52;284;55;64;50;62
20151;SB11201510021736;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366001006899;366001006899;66;66001;100040;RISARALDA;MIXTO;NOCHE;PEREIRA;NO OFICIAL;INSTITUTO NACIONAL DEL SABER INSA (ANTES GUZMABO);INSTITUTO NACIONAL DEL SABER INSA (ANTES GUZMABO) - SEDE PRINCIPAL;S;A-;S;66;66001;66;66170;RISARALDA;RISARALDA;Ninguno;21/06/1990;M;26;52.859959;PEREIRA;DOS QUEBRADAS;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;Tres;No;Si;No;Si;Si;33;237;43;49;49;60
20151;SB11201510029951;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006899;366001006899;66;66001;130583;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;INSTITUTO NACIONAL DEL SABER INSA (ANTES GUZMABO);INSTITUTO NACIONAL DEL SABER INSA (ANTES GUZMABO) - SEDE PRINCIPAL;S;A-;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;13/03/1999;F;26;51.010372;PEREIRA;PEREIRA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Técnica o tecnológica incompleta;Estrato 2;11 A 25 LIBROS;Tres;No;Si;No;No;Si;56;253;45;49;41;58
20151;SB11201510042725;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366682001351;366682001351;66;66682;13847;RISARALDA;MIXTO;NOCHE;SANTA ROSA DE CABAL;NO OFICIAL;COL COOP NOC;COL COOP NOC;S;A-;S;66;66001;66;66682;RISARALDA;RISARALDA;Ninguno;22/09/1997;M;26;59.845219;PEREIRA;SANTA ROSA DE CABAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Estrato 2;0 A 10 LIBROS;Cuatro;No;Si;Si;Si;Si;46;221;41;43;43;46
20151;SB11201510090940;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366170002886;366170002886;66;66170;66480;RISARALDA;MIXTO;SABATINA;DOS QUEBRADAS;NO OFICIAL;CENTRO EDUCATIVO CIENCIA;CENTRO EDUCATIVO CIENCIA - SEDE PRINCIPAL;S;A-;S;66;66001;66;66170;RISARALDA;RISARALDA;Ninguno;09/09/1996;M;26;54.829872;PEREIRA;DOS QUEBRADAS;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;Seis;No;Si;Si;Si;Si;46;267;47;55;59;56
20151;SB11201510067542;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006899;366001006899;66;66001;130583;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;INSTITUTO NACIONAL DEL SABER INSA (ANTES GUZMABO);INSTITUTO NACIONAL DEL SABER INSA (ANTES GUZMABO) - SEDE PRINCIPAL;S;A-;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;09/02/1998;F;26;47.103802;PEREIRA;PEREIRA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;No sabe;Estrato 1;11 A 25 LIBROS;Cuatro;No;No;No;Si;No;39;226;45;48;54;40
20151;SB11201510112511;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;166001000069;166001000069;66;66001;13466;RISARALDA;MIXTO;NOCHE;PEREIRA;OFICIAL;IE CARLOTA SANCHEZ;IE CARLOTA SANCHEZ;S;A-;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;27/04/1972;F;26;43.554943;PEREIRA;PEREIRA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;Si;No;39;187;43;33;37;39
20151;SB11201510042739;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366682001351;366682001351;66;66682;13847;RISARALDA;MIXTO;NOCHE;SANTA ROSA DE CABAL;NO OFICIAL;COL COOP NOC;COL COOP NOC;S;A-;S;66;66001;66;66682;RISARALDA;RISARALDA;Ninguno;27/05/1997;F;26;51.63995;PEREIRA;SANTA ROSA DE CABAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 2;0 A 10 LIBROS;Tres;No;Si;Si;Si;Si;45;188;49;30;32;40
20151;SB11201510092009;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366001004896;366001004896;66;66001;65086;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;INST METROPOLITANO DE EDUCION COMPUTARIZADO- IME;INST METROPOLITANO DE EDUCION COMPUTARIZADO- IME;S;A1;S;17;17001;17;17001;CALDAS;CALDAS;Ninguno;31/05/1992;M;26;44.487961;MANIZALES;MANIZALES;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;Si;Si;33;169;49;35;34;28
20151;SB11201510042454;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;A-;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;02/07/1998;F;26;56.06559;PEREIRA;PEREIRA;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Técnica o tecnológica incompleta;Estrato 1;26 A 100 LIBROS;Cuatro;No;Si;Si;Si;Si;59;296;49;61;62;58
20151;SB11201510083313;ESTUDIANTE;TI;URBANO;N;OTRO;ACADÉMICO;366001006694;366001006694;66;66001;86967;RISARALDA;MIXTO;NOCHE;PEREIRA;NO OFICIAL;LICEO ANDINO;COL LIC ANDINO;S;A-;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;11/08/1997;F;26;51.611595;PEREIRA;PEREIRA;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 4;0 A 10 LIBROS;Cuatro;No;No;Si;Si;Si;65;296;43;59;52;66
20151;SB11201510016751;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;466001005641;466001005641;66;66001;135905;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;LIC CAMPESTRE DE PEREIRA;LIC CAMPESTRE DE PEREIRA;S;B1;S;66;66001;66;66001;RISARALDA;RISARALDA;Comunidad afrodescendiente;09/08/1998;F;11;72.035896;PEREIRA;PEREIRA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 6;MÁS DE 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;73;352;80;64;77;64
20151;SB11201510042196;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;A-;S;66;66001;63;63001;RISARALDA;QUINDIO;Ninguno;25/04/1994;F;26;56.33765;PEREIRA;ARMENIA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 3;0 A 10 LIBROS;Tres;Si;Si;Si;Si;Si;27;205;42;47;39;51
20151;SB11201510058743;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;166001000069;166001000069;66;66001;13466;RISARALDA;MIXTO;NOCHE;PEREIRA;OFICIAL;IE CARLOTA SANCHEZ;IE CARLOTA SANCHEZ;S;A-;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;13/08/1997;F;26;58.444244;PEREIRA;PEREIRA;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Técnica o tecnológica incompleta;Estrato 3;0 A 10 LIBROS;Cuatro;No;Si;Si;Si;Si;57;284;42;58;62;55
20151;SB11201510054348;ESTUDIANTE;CC;URBANO;N;OTRO;ACADÉMICO;366001006694;366001006694;66;66001;86967;RISARALDA;MIXTO;NOCHE;PEREIRA;NO OFICIAL;LICEO ANDINO;COL LIC ANDINO;S;A-;S;66;66001;66;66170;RISARALDA;RISARALDA;Ninguno;17/10/1995;F;26;59.564297;PEREIRA;DOS QUEBRADAS;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 4;26 A 100 LIBROS;Cinco;Si;Si;Si;Si;Si;41;215;35;49;32;53
20151;SB11201510029005;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001006686;366001006686;66;66001;155036;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;LIC TALLER SAN MIGUEL;LIC TALLER SAN MIGUEL;S;A1;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;14/03/1998;M;11;66.636902;PEREIRA;PEREIRA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional incompleta;No sabe;Estrato 4;26 A 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;49;297;58;50;62;77
20151;SB11201510042003;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;A-;S;66;66001;66;66170;RISARALDA;RISARALDA;Ninguno;08/12/1997;F;26;59.867859;PEREIRA;DOS QUEBRADAS;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Técnica o tecnológica incompleta;No sabe;Estrato 3;26 A 100 LIBROS;Dos;No;Si;Si;Si;Si;33;205;49;33;50;45
20151;SB11201510086463;ESTUDIANTE;CC;RURAL;N;A;ACADÉMICO;266001004301;266001004301;66;66001;164160;RISARALDA;MIXTO;SABATINA;PEREIRA;OFICIAL;IE EL PITAL;IE EL PITAL;S;A-;S;66;66001;66;66001;RISARALDA;RISARALDA;Ninguno;12/05/1991;F;26;53.536263;PEREIRA;PEREIRA;COLOMBIA;NSE3;COLOMBIA;NO;N;Uno;Primaria completa;Primaria completa;Estrato 2;11 A 25 LIBROS;Dos;No;Si;Si;Si;Si;39;220;42;49;44;45
20151;SB11201510092023;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366001004896;366001004896;66;66001;65086;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;INST METROPOLITANO DE EDUCION COMPUTARIZADO- IME;INST METROPOLITANO DE EDUCION COMPUTARIZADO- IME;S;A-;S;25;25307;25;25307;CUNDINAMARCA;CUNDINAMARCA;Ninguno;12/02/1993;M;26;45.923939;GIRARDOT;GIRARDOT;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Primaria incompleta;Estrato 3;11 A 25 LIBROS;Cuatro;No;No;No;Si;Si;39;188;42;42;32;36
