periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20181;SB11201810055369;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;115238000931;115238000931;15;15238;157321;BOYACA;MIXTO;SABATINA;DUITAMA;OFICIAL;COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR;COLEGIO TECNICO MUNICIPAL SIMÓN BOLIVAR;S;3;A2;3;3;3;N;15;15759;15;15238;30 minutos o menos;Entre 30 y 60 minutos;BOYACA;BOYACA;N;;25/07/1997;F;26;0;48.196789;SOGAMOSO;DUITAMA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;1 o 2 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;No;Si;No;No;No;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;53;58;49;60;44;82;59;307;61;63;55;69
20181;SB11201810029540;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;315176001110;315176001110;15;15176;148296;BOYACA;MIXTO;SABATINA;CHIQUINQUIRÁ;NO OFICIAL;IE ALBERT EINSTEIN;IE ALBERT EINSTEIN;S;2;A-;4;2;3;N;15;15407;15;15176;30 minutos o menos;30 minutos o menos;BOYACA;BOYACA;N;;06/09/1980;F;26;Entre 11 y 20 horas;57.437931;VILLA DE LEYVA;CHIQUINQUIRÁ;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;Todos o casi todos los días;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;11 A 25 LIBROS;3 a 4;Peor;Si;Si;Si;No;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No aplica;28;43;26;69;34;61;47;277;47;66;50;61
20181;SB11201810017823;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;315001003942;315001003942;15;15001;155010;BOYACA;MIXTO;COMPLETA;TUNJA;NO OFICIAL;CENTRO JUVENIL AMIGONIANO BOYACÁ;CENTRO JUVENIL AMIGONIANO BOYACÁ - SEDE PRINCIPAL;S;1;A-;2;2;1;N;15;15001;;;;;BOYACA;;N;;06/11/1998;M;26;;36.060463;TUNJA;;COLOMBIA;2;NSE1;COLOMBIA;NO;S;0;;;;;;;;;;;;;;;;;;;;;;;10;11;10;20;18;5;38;201;37;49;41;34
20181;SB11201810033332;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;315176001110;315176001110;15;15176;148296;BOYACA;MIXTO;SABATINA;CHIQUINQUIRÁ;NO OFICIAL;IE ALBERT EINSTEIN;IE ALBERT EINSTEIN;S;2;A-;3;2;3;N;15;15407;15;15176;Entre 30 y 60 minutos;No leo por entretenimiento;BOYACA;BOYACA;N;;08/01/1987;M;26;Más de 30 horas;46.295113;VILLA DE LEYVA;CHIQUINQUIRÁ;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;5 a 6;Peor;No;No;No;No;No;No;No;Si;Pensionado;Es vendedor o trabaja en atención al público;35;36;13;41;26;59;51;262;39;57;46;60
20181;SB11201810025484;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;315001003942;315001003942;15;15001;155010;BOYACA;MIXTO;COMPLETA;TUNJA;NO OFICIAL;CENTRO JUVENIL AMIGONIANO BOYACÁ;CENTRO JUVENIL AMIGONIANO BOYACÁ - SEDE PRINCIPAL;S;3;A2;3;3;3;N;15;15001;;;;;BOYACA;;N;;09/11/2000;M;26;;52.665676;TUNJA;;COLOMBIA;2;NSE3;COLOMBIA;NO;S;0;;;;;;;;;;;;;;;;;;;;;;;48;51;48;45;65;49;57;294;60;58;64;56
20181;SB11201810031060;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;115238000931;115238000931;15;15238;157321;BOYACA;MIXTO;SABATINA;DUITAMA;OFICIAL;COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR;COLEGIO TECNICO MUNICIPAL SIMÓN BOLIVAR;S;2;A1;3;2;2;N;15;15759;15;15238;30 minutos o menos;30 minutos o menos;BOYACA;BOYACA;N;;07/09/1998;F;26;Más de 30 horas;52.757988;SOGAMOSO;DUITAMA;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Educación profesional incompleta;Educación profesional incompleta;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;No;Si;Si;No;No;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Pensionado;38;35;32;32;30;42;52;258;50;54;48;53
20181;SB11201810063931;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;315759002645;315759002645;15;15759;136978;BOYACA;MIXTO;SABATINA;SOGAMOSO;NO OFICIAL;INSTITUCION EDUCATIVA NUEVA GRANADA;INSTITUCION EDUCATIVA NUEVA GRANADA - SEDE PRINCIPAL;S;2;A-;2;1;2;N;11;11001;15;15759;30 minutos o menos;30 minutos o menos;BOGOTÁ;BOYACA;N;;05/06/1999;M;26;Más de 30 horas;51.18063;BOGOTÁ D.C.;SOGAMOSO;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;1 a 2;Mejor;No;Si;No;No;Si;Si;No;Si;No aplica;Pensionado;31;13;10;7;8;17;49;206;37;41;35;41
20181;SB11201810068400;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;315001003516;315001003516;15;15001;104547;BOYACA;MIXTO;MAÑANA;TUNJA;NO OFICIAL;COLEGIO CORPORACION SANTO DOMINGO;COLEGIO CORPORACION SANTO DOMINGO;S;2;A1;3;2;2;N;15;15001;15;15001;Entre 30 y 60 minutos;Entre 30 y 60 minutos;BOYACA;BOYACA;N;;02/11/1998;M;26;Menos de 10 horas;;TUNJA;TUNJA;COLOMBIA;;;COLOMBIA;NO;N;0;No;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;5 a 6;Igual;Si;Si;Si;No;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);38;36;41;28;33;40;52;260;56;52;50;53
20181;SB11201810023071;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO;115755000371;115755000371;15;15755;714436;BOYACA;MIXTO;SABATINA;SOCOTÁ;OFICIAL;IE TECNICA  FRANCISCO JOSE DE CALDAS;IE TECNICA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL;S;2;A-;2;2;1;N;15;15759;15;15755;;;BOYACA;BOYACA;N;;10/04/1998;M;26;Más de 30 horas;44.476559;SOGAMOSO;SOCOTÁ;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;;;;Uno;;;;;3 a 4;Igual;No;No;No;Si;;Si;No;;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);20;12;27;21;22;1;43;204;47;49;43;26
20181;SB11201810048289;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;315759002645;315759002645;15;15759;136978;BOYACA;MIXTO;SABATINA;SOGAMOSO;NO OFICIAL;INSTITUCION EDUCATIVA NUEVA GRANADA;INSTITUCION EDUCATIVA NUEVA GRANADA - SEDE PRINCIPAL;S;2;A1;3;3;3;N;15;15759;15;15759;30 minutos o menos;Entre 30 y 60 minutos;BOYACA;BOYACA;N;;03/02/2000;F;26;0;57.539757;SOGAMOSO;SOGAMOSO;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Secundaria (Bachillerato) completa;No sabe;Estrato 2;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;No;Si;Es vendedor o trabaja en atención al público;No sabe;39;43;32;31;46;57;53;277;51;54;56;60
