periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20181;SB11201810042780;ESTUDIANTE;CC;URBANO;N;OTRO;ACADÉMICO;305001022682;305001022682;5;5001;95869;ANTIOQUIA;MIXTO;MAÑANA;MEDELLÍN;NO OFICIAL;POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN;STUDIO SISTEMAS AGENCIA CRISTIANA DE SERVICIO Y EDUCACION;S;1;A-;2;2;2;N;5;5001;5;5001;30 minutos o menos;Entre 30 y 60 minutos;ANTIOQUIA;ANTIOQUIA;N;;13/10/1992;M;26;;;MEDELLÍN;MEDELLÍN;COLOMBIA;2;;COLOMBIA;NO;N;0;No;;1 o 2 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;;Secundaria (Bachillerato) completa;Ninguno;Estrato 2;11 A 25 LIBROS;;;;;;;Si;;;No;;;4;20;27;15;26;38;34;223;47;46;46;52
20181;SB11201810022575;ESTUDIANTE;CC;URBANO;N;OTRO;ACADÉMICO;305001022682;305001022682;5;5001;95869;ANTIOQUIA;MIXTO;MAÑANA;MEDELLÍN;NO OFICIAL;POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN;STUDIO SISTEMAS AGENCIA CRISTIANA DE SERVICIO Y EDUCACION;S;3;A2;3;3;3;N;5;5001;5;5001;Entre 1 y 3 horas;30 minutos o menos;ANTIOQUIA;ANTIOQUIA;N;;11/03/1999;M;26;0;51.803944;MEDELLÍN;MEDELLÍN;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;No;Si;No;No;Si;Es vendedor o trabaja en atención al público;Es operario de máquinas o conduce vehículos (taxita, chofer);50;46;47;41;45;47;58;284;60;57;55;56
20181;SB11201810022585;ESTUDIANTE;CC;URBANO;N;OTRO;ACADÉMICO;305001022682;305001022682;5;5001;95869;ANTIOQUIA;MIXTO;MAÑANA;MEDELLÍN;NO OFICIAL;POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN;STUDIO SISTEMAS AGENCIA CRISTIANA DE SERVICIO Y EDUCACION;S;2;B1;4;3;2;N;5;5001;5;5631;Más de 3 horas;Entre 1 y 2 horas;ANTIOQUIA;ANTIOQUIA;N;;28/12/1999;F;26;0;47.908764;MEDELLÍN;SABANETA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Educación profesional incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;Si;No;No;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;44;47;70;69;35;36;55;286;75;66;51;51
20181;SB11201810005128;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;305001004668;305001004668;5;5001;596;ANTIOQUIA;FEMENINO;COMPLETA;MEDELLÍN;NO OFICIAL;COLEGIO PINARES ALTOVERDE;COL GIMN LOS PINARES;S;3;B+;4;3;4;S;5;5001;5;5001;Más de 3 horas;No leo por entretenimiento;ANTIOQUIA;ANTIOQUIA;N;;01/07/2001;F;11;0;74.696236;MEDELLÍN;MEDELLÍN;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 6;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);66;81;95;79;79;85;64;350;87;69;70;71
20181;SB11201810022567;ESTUDIANTE;CC;URBANO;N;OTRO;ACADÉMICO;305001022682;305001022682;5;5001;95869;ANTIOQUIA;MIXTO;MAÑANA;MEDELLÍN;NO OFICIAL;POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN;STUDIO SISTEMAS AGENCIA CRISTIANA DE SERVICIO Y EDUCACION;S;2;A-;2;1;2;N;5;5001;5;5001;Entre 30 y 60 minutos;30 minutos o menos;ANTIOQUIA;ANTIOQUIA;N;;07/06/1977;F;26;0;45.912426;MEDELLÍN;MEDELLÍN;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Uno;Primaria incompleta;No sabe;Estrato 2;11 A 25 LIBROS;1 a 2;Igual;No;No;No;No;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No sabe;22;8;2;7;2;24;45;192;27;41;26;45
20181;SB11201810046134;ESTUDIANTE;CC;URBANO;N;OTRO;ACADÉMICO;305001022682;305001022682;5;5001;95869;ANTIOQUIA;MIXTO;MAÑANA;MEDELLÍN;NO OFICIAL;POLITÉCNICO MAYOR AGENCIA CRISTIANA DE SERVICIO Y EDUCACIÓN;STUDIO SISTEMAS AGENCIA CRISTIANA DE SERVICIO Y EDUCACION;S;2;A-;3;2;2;N;5;5001;5;5001;Entre 30 y 60 minutos;30 minutos o menos;ANTIOQUIA;ANTIOQUIA;N;;28/09/1999;M;26;Entre 11 y 20 horas;56.972343;MEDELLÍN;MEDELLÍN;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Tres;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 4;0 A 10 LIBROS;5 a 6;Igual;No;Si;Si;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja por cuenta propia (por ejemplo plomero, electricista);20;27;13;37;30;30;43;240;39;56;48;48
20181;SB11201810015115;ESTUDIANTE;TI;RURAL;N;B;ACADÉMICO;305001010781;305001010781;5;5001;41996;ANTIOQUIA;MIXTO;COMPLETA;MEDELLÍN;NO OFICIAL;COL MONTESSORI;COL MONTESSORI;S;4;B+;3;4;4;S;5;5001;5;5001;Más de 3 horas;Más de 2 horas;ANTIOQUIA;ANTIOQUIA;N;;28/03/2001;F;11;0;78.52179;MEDELLÍN;MEDELLÍN;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Cuatro;Postgrado;Postgrado;Estrato 6;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);90;87;94;53;90;95;72;361;86;61;75;76
20181;SB11201810029612;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;305088002488;305088002488;5;5088;149765;ANTIOQUIA;MIXTO;SABATINA;BELLO;NO OFICIAL;I.E. PREUNIVERSITARIO DE BELLO ANTONIO DE J RIOS;INST PREUNIVERSITARIO DE BELLOANTONIO DE J RIOS;S;3;A1;3;3;3;N;5;5001;5;5088;Más de 3 horas;30 minutos o menos;ANTIOQUIA;ANTIOQUIA;N;;16/06/2000;M;26;Menos de 10 horas;50.662193;MEDELLÍN;BELLO;COLOMBIA;3;NSE2;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) completa;No sabe;Estrato 2;26 A 100 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);No aplica;48;47;33;48;50;50;57;286;51;59;58;57
20181;SB11201810017224;ESTUDIANTE;TI;URBANO;;B;ACADÉMICO;305001019681;305001019681;5;5266;126409;ANTIOQUIA;MIXTO;COMPLETA;ENVIGADO;NO OFICIAL;CORPORACION COLEGIO CUMBRES;CORPORACION COLEGIO CUMBRES;S;3;B1;3;3;3;S;5;5001;5;5266;Entre 1 y 3 horas;No leo por entretenimiento;ANTIOQUIA;ANTIOQUIA;N;;15/10/2000;M;11;0;75.435974;MEDELLÍN;ENVIGADO;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Postgrado;Postgrado;Estrato 5;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Es vendedor o trabaja en atención al público;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);56;57;70;37;70;52;60;306;75;56;66;58
20181;SB11201810015097;ESTUDIANTE;TI;RURAL;N;B;ACADÉMICO;305001010781;305001010781;5;5001;41996;ANTIOQUIA;MIXTO;COMPLETA;MEDELLÍN;NO OFICIAL;COL MONTESSORI;COL MONTESSORI;S;3;B+;3;3;3;S;5;5001;5;5001;Más de 3 horas;Entre 1 y 2 horas;ANTIOQUIA;ANTIOQUIA;N;;11/05/2001;F;11;Entre 11 y 20 horas;70.743736;MEDELLÍN;MEDELLÍN;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;Si, en efectivo y especie;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Educación profesional completa;Postgrado;Estrato 6;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;77;63;83;55;58;52;67;318;82;62;61;58
