periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20171;SB11201710090431;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;368001000087;368001000087;68;68001;33837;SANTANDER;MIXTO;TARDE;BUCARAMANGA;NO OFICIAL;COL  FERNANDO DE ARAGON                                                                             ;COL  FERNANDO DE ARAGON                                                                             ;S;3;A1;3;2;2;N;68;68001;68;68276;Más de 3 horas;Entre 30 y 60 minutos;SANTANDER;SANTANDER;N;;13/06/2000;M;26;Menos de 10 horas;61.472424;BUCARAMANGA;FLORIDABLANCA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Dos;Educación profesional completa;Educación profesional incompleta;Estrato 2;26 A 100 LIBROS;3 a 4;Mejor;No;Si;Si;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;No aplica;51;42;41;49;36;35;58;270;54;57;50;51
20171;SB11201710090426;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;368001000087;368001000087;68;68001;33837;SANTANDER;MIXTO;TARDE;BUCARAMANGA;NO OFICIAL;COL  FERNANDO DE ARAGON                                                                             ;COL  FERNANDO DE ARAGON                                                                             ;S;3;A2;3;3;2;N;68;68001;68;68001;Entre 1 y 3 horas;30 minutos o menos;SANTANDER;SANTANDER;N;;30/03/2000;M;26;0;56.840511;BUCARAMANGA;BUCARAMANGA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Tres;No sabe;No sabe;Estrato 4;11 A 25 LIBROS;5 a 6;Igual;Si;Si;No;Si;Si;Si;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja por cuenta propia (por ejemplo plomero, electricista);56;41;49;33;42;29;60;268;59;52;53;48
20171;SB11201710090195;ESTUDIANTE;TI;URBANO;N;OTRO;ACADÉMICO;368001006301;368001006301;68;68001;88906;SANTANDER;MIXTO;MAÑANA;BUCARAMANGA;NO OFICIAL;COLEGIO HARVARD                    ;INSTITUCION EDUCATIVA ESKOLATEC;S;3;B1;3;3;2;N;68;68001;68;68001;Entre 30 y 60 minutos;30 minutos o menos;SANTANDER;SANTANDER;N;;27/03/1999;M;11;0;56.353504;BUCARAMANGA;BUCARAMANGA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Primaria completa;Estrato 2;11 A 25 LIBROS;3 a 4;Igual;Si;Si;Si;No;Si;Si;No;Si;No aplica;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;55;53;65;68;47;40;59;293;71;63;55;53
20171;SB11201710090153;ESTUDIANTE;CC;RURAL;N;A;ACADÉMICO;368689003192;368689003192;68;68689;87130;SANTANDER;MIXTO;COMPLETA;SAN VICENTE DE CHUCURÍ;NO OFICIAL;INSTITUTO CRISTIANO DE PROMOCION CAMPESINA ICPROC                                       ;INSTITUTO CRISTIANO DE PROMOCION CAMPESINA ICPROC                                          ;S;1;A-;2;2;2;N;68;68081;68;68689;Más de 3 horas;No leo por entretenimiento;SANTANDER;SANTANDER;N;;22/08/1989;M;26;Más de 30 horas;40.621105;BARRANCABERMEJA;SAN VICENTE DE CHUCURÍ;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;No;Si;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es operario de máquinas o conduce vehículos (taxita, chofer);1;8;18;5;29;14;26;192;39;39;47;41
20171;SB11201710089919;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;368001004651;368001004651;68;68001;137026;SANTANDER;MIXTO;TARDE;BUCARAMANGA;NO OFICIAL;COLEGIO PRINCIPE SAN CARLOS;COL  PRINCIPE SAN CARLOS                                                                            ;S;2;A-;3;2;1;N;68;68001;68;68001;No Navega Internet;No leo por entretenimiento;SANTANDER;SANTANDER;N;;07/11/1999;M;26;0;58.009518;BUCARAMANGA;BUCARAMANGA;COLOMBIA;4;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Nunca o rara vez comemos eso;3 a 5 veces por semana;Dos;Técnica o tecnológica incompleta;Ninguno;Estrato 4;0 A 10 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;No aplica;27;18;25;38;10;9;48;220;44;54;36;38
20171;SB11201710089918;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;368001004651;368001004651;68;68001;137026;SANTANDER;MIXTO;TARDE;BUCARAMANGA;NO OFICIAL;COLEGIO PRINCIPE SAN CARLOS;COL  PRINCIPE SAN CARLOS                                                                            ;S;2;A1;3;2;3;N;68;68001;68;68001;Entre 1 y 3 horas;Entre 30 y 60 minutos;SANTANDER;SANTANDER;N;;17/10/1998;M;26;0;50.158009;BUCARAMANGA;BUCARAMANGA;COLOMBIA;4;NSE2;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;Nunca o rara vez comemos eso;3 a 5 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es vendedor o trabaja en atención al público;35;41;45;41;36;48;52;267;56;55;50;56
20171;SB11201710089908;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;368001004651;368001004651;68;68001;137026;SANTANDER;MIXTO;TARDE;BUCARAMANGA;NO OFICIAL;COLEGIO PRINCIPE SAN CARLOS;COL  PRINCIPE SAN CARLOS                                                                            ;S;3;B+;4;3;3;N;68;68001;68;68001;Más de 3 horas;Entre 30 y 60 minutos;SANTANDER;SANTANDER;N;;11/07/1999;F;26;0;63.490406;BUCARAMANGA;BUCARAMANGA;COLOMBIA;4;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Seis o mas;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;MÁS DE 100 LIBROS;5 a 6;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;66;69;87;80;49;72;63;322;84;67;56;65
20171;SB11201710089164;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;168296000017;168296000033;68;68296;39040;SANTANDER;MIXTO;MAÑANA;GALÁN;OFICIAL;COLEGIO INTEGRADO ALFONSO GOMEZ GOMEZ; ESCUELA URBANA JOSE ANTONIO GALAN;N;1;A-;2;2;1;N;76;76834;76;76036;No Navega Internet;No leo por entretenimiento;VALLE;VALLE;N;;12/08/1998;M;26;Entre 11 y 20 horas;42.401932;TULUÁ;ANDALUCÍA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;No;No;No;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;9;10;5;15;19;8;39;198;27;45;42;37
20171;SB11201710039646;ESTUDIANTE;CC;URBANO;;A;;368276003086;368276003086;68;68276;193086;SANTANDER;MIXTO;NOCHE;FLORIDABLANCA;NO OFICIAL;FUNDACIÓN EDUCATIVA DE COLOMBIA FUNDECOL;FUNDACIÓN EDUCATIVA DE COLOMBIA FUNDECOL - SEDE PRINCIPAL;S;2;A2;3;3;2;N;68;68001;68;68276;Entre 30 y 60 minutos;Entre 30 y 60 minutos;SANTANDER;SANTANDER;N;;07/06/1997;F;26;0;53.72192;BUCARAMANGA;FLORIDABLANCA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Educación profesional incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;No;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es operario de máquinas o conduce vehículos (taxita, chofer);29;36;57;52;37;21;49;259;65;58;51;45
20171;SB11201710024136;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;368001000516;368001000516;68;68276;110858;SANTANDER;MIXTO;COMPLETA;FLORIDABLANCA;NO OFICIAL;COL NUEVO CAMBRIDGE;COL NUEVO CAMBRIDGE;S;4;B+;4;4;4;S;68;68001;68;68276;Más de 3 horas;Entre 30 y 60 minutos;SANTANDER;SANTANDER;N;;08/09/1999;F;11;Entre 21 y 30 horas;67.267174;BUCARAMANGA;FLORIDABLANCA;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Educación profesional incompleta;Postgrado;Estrato 4;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);99;98;88;84;98;99;83;396;85;69;81;82
