periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia
20251;SB11202510005607;ESTUDIANTE;TI;URBANO;;B;ACADÉMICO;313001005705;313001005705;13;13001;137968;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI);COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI);S;4;B+;4;4;4;N;13;13001;13;13001;Más de 3 horas;30 minutos o menos;BOLIVAR;BOLIVAR;N;;13/05/2009;M;11;0;72.003067;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Dos;Educación profesional completa;Postgrado;Estrato 4;26 A 100 LIBROS;3 a 4;Mejor;No;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;100;97;93;97;91;96;80;390;86;77;76;76;NINGUNO
20251;SB11202510061404;ESTUDIANTE;CC;URBANO;;A;;313836800263;313836800263;13;13836;816660;BOLIVAR;MIXTO;SABATINA;TURBACO;NO OFICIAL;INSTITUCION EDUCATIVA EDUCAMOS CON VALORES;INSTITUCION EDUCATIVA EDUCAMOS CON VALORES - SEDE PRINCIPAL;S;1;A-;1;2;1;N;13;13001;13;13001;30 minutos o menos;30 minutos o menos;BOLIVAR;BOLIVAR;N;;27/08/2005;M;26;Entre 21 y 30 horas;48.983589;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;COLOMBIA;2;2;COLOMBIA;N;0;;;1 o 2 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Seis o mas;Primaria completa;Primaria incompleta;Estrato 4;0 A 10 LIBROS;5 a 6;Igual;;Si;Si;Si;No;Si;Si;No;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;6;3;9;2;16;1;35;162;37;32;40;21;NINGUNO
20251;SB11202510005614;ESTUDIANTE;TI;URBANO;;B;ACADÉMICO;313001005705;313001005705;13;13001;137968;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI);COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI);S;4;B+;4;3;3;N;13;13001;13;13001;Más de 3 horas;Entre 30 y 60 minutos;BOLIVAR;BOLIVAR;N;;18/05/2008;F;11;0;71.545082;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Educación profesional completa;Educación profesional completa;Estrato 5;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;Si;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;No sabe;90;81;76;81;62;86;72;347;79;70;63;69;NINGUNO
20251;SB11202510094879;ESTUDIANTE;CC;URBANO;;A;;313244800031;313244800031;13;13244;783407;BOLIVAR;MIXTO;SABATINA;EL CARMEN DE BOLÍVAR;NO OFICIAL;INSTITUTO PSICOPEDAGOGICO DEL CARIBE;INSTITUTO PSICOPEDAGOGICO DEL CARIBE - SEDE PRINCIPAL;S;2;A1;3;3;3;N;68;68001;68;68307;Más de 3 horas;30 minutos o menos;SANTANDER;SANTANDER;N;;18/01/1994;F;26;Más de 30 horas;53.812439;BUCARAMANGA;GIRÓN;COLOMBIA;2;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Secundaria (Bachillerato) incompleta;No Aplica;Estrato 3;0 A 10 LIBROS;5 a 6;Mejor;No;No;Si;No;Si;Si;Si;Si;Es agricultor, pesquero o jornalero;No aplica;49;43;33;35;35;59;55;273;53;54;51;59;NINGUNO
20251;SB11202510005574;ESTUDIANTE;TI;URBANA;;B;;313001800076;313001800076;13;13001;713339;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO PABLO HOFF - SEDE PRINCIPAL;COLEGIO PABLO HOFF - SEDE PRINCIPAL;N;2;B1;3;3;2;S;13;13001;13;13001;Entre 1 y 3 horas;30 minutos o menos;BOLIVAR;BOLIVAR;N;;10/11/2008;F;11;0;67.315323;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Postgrado;No sabe;Estrato 6;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja por cuenta propia (por ejemplo plomero, electricista);44;48;54;58;43;48;53;285;69;62;55;54;NINGUNO
20251;SB11202510061053;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;313001004768;313001004768;13;13001;62455;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;REDCOL COLEGIO BRITANICO DE CARTAGENA;REDCOL COLEGIO BRITANICO DE CARTAGENA;S;4;B+;4;4;4;S;13;13001;13;13001;Entre 1 y 3 horas;No leo por entretenimiento;BOLIVAR;BOLIVAR;N;;18/01/2007;M;11;0;72.025169;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Cuatro;Educación profesional incompleta;Educación profesional completa;Estrato 6;11 A 25 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);94;96;85;97;98;89;74;382;82;77;82;71;NINGUNO
20251;SB11202510031067;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;313001005748;313001005748;13;13001;73494;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;GIMNASIO ALTAIR DE CARTAGENA;CORP. EDUC. GIMN. ALTAIR DE C/GENA.;S;2;A2;4;3;4;N;13;13001;13;13001;Más de 3 horas;Entre 30 y 60 minutos;BOLIVAR;BOLIVAR;S;;16/05/2008;M;11;0;77.350288;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 5;11 A 25 LIBROS;5 a 6;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);49;68;47;72;71;90;55;323;63;66;67;71;NINGUNO
20251;SB11202510094828;ESTUDIANTE;CC;URBANO;;A;;313244800031;313244800031;13;13244;783407;BOLIVAR;MIXTO;SABATINA;EL CARMEN DE BOLÍVAR;NO OFICIAL;INSTITUTO PSICOPEDAGOGICO DEL CARIBE;INSTITUTO PSICOPEDAGOGICO DEL CARIBE - SEDE PRINCIPAL;S;2;A1;3;2;3;N;63;63001;63;63401;Entre 1 y 3 horas;30 minutos o menos;QUINDIO;QUINDIO;N;;04/06/2006;M;26;Más de 30 horas;50.327927;ARMENIA;LA TEBAIDA;COLOMBIA;2;2;COLOMBIA;N;0;;No;Todos o casi todos los días;Nunca o rara vez comemos eso;3 a 5 veces por semana;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;11 A 25 LIBROS;1 a 2;Mejor;No;No;No;No;Si;No;Si;Si;Es vendedor o trabaja en atención al público;Es operario de máquinas o conduce vehículos (taxita, chofer);45;40;37;38;26;56;54;266;56;55;46;57;NINGUNO
20251;SB11202510006684;ESTUDIANTE;TI;URBANO;;B;ACADÉMICO;313001005705;313001005705;13;13001;137968;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI);COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI);S;2;A2;3;2;2;N;13;13001;13;13001;Entre 30 y 60 minutos;30 minutos o menos;BOLIVAR;BOLIVAR;S;;28/01/2008;F;11;Menos de 10 horas;65.816269;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;COLOMBIA;4;4;COLOMBIA;N;0;;Si, en efectivo y especie;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Técnica o tecnológica incompleta;Educación profesional completa;Estrato 6;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);46;35;49;34;20;36;54;253;65;54;43;47;NINGUNO
20251;SB11202510008562;ESTUDIANTE;TI;URBANO;;B;ACADÉMICO;313001005705;313001005705;13;13001;137968;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI);COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI);S;3;B1;4;3;3;N;13;13001;13;13001;Más de 3 horas;30 minutos o menos;BOLIVAR;BOLIVAR;S;;01/12/2008;M;11;0;67.226227;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;COLOMBIA;4;4;COLOMBIA;N;0;;Si, en efectivo y especie;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Secundaria (Bachillerato) incompleta;Educación profesional incompleta;Estrato 6;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;78;62;68;70;43;61;66;313;76;66;55;59;NINGUNO
