periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anoterminobachiller;estu_areareside;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_mcpio_presentacion;estu_mcpio_reside;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_tipodocumento;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20101;SB11201010091643;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A1;;;I;;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;26/04/1994;F;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;336;TI;No;Menos de 87.000;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Empleado obrero u operario;Cuatro;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;Si;No;No;Si;No;47.860001;44.119999;51.419998;42.48;47.790001;;39.41;60.740002;43.990002;;;4.5999999;;57.48
20101;SB11201010091783;ESTUDIANTE;URBANO;S;B;ACADÉMICO;313001003931;313001003931;13;13001;4234;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO JORGE WASHINGTON;COLEGIO JORGE WASHINGTON - SEDE PRINCIPAL;S;B1;;;;II;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;08/10/1991;M;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;30;CC;No;250.000 o más;Una Vez;Cinco;Educación profesional completa;Educación profesional completa;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Hogar;;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;49.560001;59.580002;40.169998;48.619999;79.550003;;50.25;69.870003;74.379997;;;;6.1999998;67.940002
20101;SB11201010091657;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A1;I;;;;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;04/06/1993;F;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;713;TI;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Empleado obrero u operario;Empleado obrero u operario;Tres;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;Si;Si;No;Si;No;41.48;49.540001;36.889999;22.040001;43.48;50.779999;;56.52;40.779999;6.1999998;;;;45.330002
20101;SB11201010091838;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313001004768;313001004768;13;13001;62455;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO BRITANICO DE CARTAGENA;COLEGIO BRITANICO DE CARTAGENA;S;B+;;GB;;;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;22/04/1992;F;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;680;TI;No;250.000 o más;Una Vez;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Pequeño empresario;;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;43.869999;39.580002;43.459999;32.27;91.709999;50.07;;44.419998;52.169998;;4.6999998;;;53.73
20101;SB11201010091668;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A1;;;GB;;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;04/01/1994;F;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;728;TI;No;No paga Pensión;Ninguna vez;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Empleado de nivel auxiliar o administrativo;Empleado de nivel auxiliar o administrativo;Seis;Cemento, gravilla, ladrillo;No;No;Si;Si;No;No;Si;Si;No;Si;No;53.650002;31.700001;46.23;32.27;50.66;;42.400002;52.830002;43.990002;;;4.1999998;;43.400002
20101;SB11201010091661;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A-;;;GB;;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;30/03/1993;M;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;419;TI;No;Menos de 87.000;Ninguna vez;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Pensionado;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;No;Si;Si;No;No;No;39.490002;48.369999;48.869999;42.48;38.779999;50.779999;;54.790001;52.169998;;;3.8;;39.610001
20101;SB11201010091629;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A1;;;GB;;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;06/01/1975;F;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;684;CC;No;No paga Pensión;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Empleado de nivel técnico o profesional;Empleado de nivel técnico o profesional;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;Si;No;No;Si;No;34.330002;50.439999;37.23;42.48;49.220001;;35.93;52.830002;43.990002;;;4.1999998;;32.490002
20101;SB11201010091702;ESTUDIANTE;URBANO;S;B;ACADÉMICO;313001003931;313001003931;13;13001;4234;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO JORGE WASHINGTON;COLEGIO JORGE WASHINGTON - SEDE PRINCIPAL;S;B1;;;II;;;;13;13001;;;BOLIVAR;;;19/08/1991;F;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;183;CC;;;;;;;;;;;;;;;;;;;;;;;;;45.639999;48.369999;51.150002;61.34;72.32;;50.25;60.740002;49.52;;;6.6999998;;48.740002
20101;SB11201010091850;ESTUDIANTE;URBANO;N;A;NO APLICA;313001028639;313001028639;13;13001;84749;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;INST. CENTRAL DE COLOMBIA PARA ADULTOS  (513001004018);INST. CENTRAL DE COLOMBIA PARA ADULTOS  (513001004018);S;A1;;;I;;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;11/02/1991;M;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;582;CC;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 4;Entre 5 y menos de 7 SMLV;Nivel 3;Trabajador por cuenta propia;Pequeño empresario;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;No;No;45.639999;46.27;40.169998;36.700001;46.349998;;42.400002;46.68;46.77;;;5;;39.759998
20101;SB11201010091781;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313836000348;313836000348;13;13001;27011;BOLIVAR;FEMENINO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;ASPAEN GIMNASIO CARTAGENA DE INDIAS;ASPAEN GIMNASIO CARTAGENA DE INDIAS;S;B+;;GB;;;2010;Cabecera Municipal;13;13001;13;13001;BOLIVAR;BOLIVAR;;05/01/1992;F;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;200;CC;No;250.000 o más;Una Vez;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Profesional independiente;Pequeño empresario;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;47.860001;50.439999;46.23;47.970001;87.559998;52.16;;50.849998;59.860001;;4.3000002;;;55.549999
