periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_generacione;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20201;SB11202010026840;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;2;A1;3;2;2;S;44;44430;44;44430;Más de 3 horas;Entre 30 y 60 minutos;LA GUAJIRA;LA GUAJIRA;N;;06/01/2003;NO;F;11;0;64.861221;MAICAO;MAICAO;COLOMBIA;3;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Cinco;Educación profesional completa;Secundaria (Bachillerato) incompleta;Estrato 5;26 A 100 LIBROS;5 a 6;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es vendedor o trabaja en atención al público;21;30;32;38;26;38;45;256;56;57;50;51
20201;SB11202010005116;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;3;B+;4;4;4;S;44;44035;44;44035;Entre 1 y 3 horas;Entre 1 y 2 horas;LA GUAJIRA;LA GUAJIRA;N;;09/03/2002;NO;F;11;0;82.395737;ALBANIA;ALBANIA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Postgrado;Postgrado;Estrato 3;26 A 100 LIBROS;1 a 2;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);83;93;92;94;85;99;68;372;85;75;72;79
20201;SB11202010026901;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;4;A2;4;4;3;S;44;44430;44;44430;Más de 3 horas;Entre 1 y 2 horas;LA GUAJIRA;LA GUAJIRA;N;;29/01/2003;NO;M;11;0;60.186615;MAICAO;MAICAO;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 4;0 A 10 LIBROS;3 a 4;Igual;No;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;94;88;37;83;98;80;73;360;59;70;81;68
20201;SB11202010026964;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;3;A2;3;3;2;S;44;44430;44;44430;Entre 30 y 60 minutos;No leo por entretenimiento;LA GUAJIRA;LA GUAJIRA;N;;13/01/2003;NO;F;11;;;MAICAO;MAICAO;COLOMBIA;3;;COLOMBIA;N;0;No;;1 o 2 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;;Secundaria (Bachillerato) incompleta;Primaria incompleta;;11 A 25 LIBROS;;;;;;;Si;;;Si;;;53;39;45;40;48;21;58;275;64;57;59;43
20201;SB11202010005093;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;3;B+;4;3;3;S;44;44035;44;44035;Más de 3 horas;Más de 2 horas;LA GUAJIRA;LA GUAJIRA;N;;13/12/2002;NO;F;11;0;66.744637;ALBANIA;ALBANIA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Educación profesional incompleta;Educación profesional incompleta;Estrato 4;26 A 100 LIBROS;3 a 4;Peor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;85;79;87;93;67;56;69;342;82;75;66;59
20201;SB11202010003635;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;3;B1;3;3;3;S;44;44035;44;44378;Entre 30 y 60 minutos;Entre 30 y 60 minutos;LA GUAJIRA;LA GUAJIRA;N;;13/04/2002;NO;F;11;0;56.311272;ALBANIA;HATONUEVO;COLOMBIA;4;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;Primaria completa;Técnica o tecnológica completa;Estrato 2;0 A 10 LIBROS;3 a 4;Peor;Si;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Pensionado;48;51;61;54;32;62;57;297;73;62;53;61
20201;SB11202010005122;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;3;B1;4;4;3;S;44;44035;44;44035;Más de 3 horas;Entre 30 y 60 minutos;LA GUAJIRA;LA GUAJIRA;N;;30/01/2002;NO;M;11;0;76.91333;ALBANIA;ALBANIA;COLOMBIA;4;4;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Postgrado;Postgrado;Estrato 3;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);87;82;66;72;85;80;70;348;75;67;72;68
20201;SB11202010026952;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;3;B1;3;3;2;S;44;44430;44;44430;Más de 3 horas;Entre 1 y 2 horas;LA GUAJIRA;LA GUAJIRA;N;;21/02/2003;NO;F;11;0;60.860458;MAICAO;MAICAO;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 6;26 A 100 LIBROS;5 a 6;Mejor;Si;Si;No;Si;Si;Si;No;Si;No aplica;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;51;47;59;39;48;43;58;290;72;57;59;53
20201;SB11202010026884;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;4;B1;4;4;3;S;44;44430;44;44430;Entre 1 y 3 horas;Entre 30 y 60 minutos;LA GUAJIRA;LA GUAJIRA;N;;08/10/2003;NO;M;11;0;61.6493;MAICAO;MAICAO;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;;26 A 100 LIBROS;5 a 6;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;97;79;60;68;82;61;76;343;73;66;71;60
20201;SB11202010005146;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;3;B1;3;3;3;S;44;44035;44;44035;Más de 3 horas;Entre 1 y 2 horas;LA GUAJIRA;LA GUAJIRA;N;;06/02/2002;NO;F;11;0;72.573364;ALBANIA;ALBANIA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 4;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);52;55;72;59;39;60;58;303;77;63;56;60
