periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510035326;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;117433000859;117433000859;17;17433;124537;CALDAS;MIXTO;MAÑANA;MANZANARES;OFICIAL;INSTITUCION EDUCATIVA MANZANARES;INSTITUTO MANZANARES;S;A-;S;17;17001;17;17433;CALDAS;CALDAS;Ninguno;12/10/1996;M;11;44.300785;MANIZALES;MANZANARES;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 2;0 A 10 LIBROS;Cinco;No;No;No;Si;Si;58;259;43;51;50;51
20151;SB11201510040372;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;317001007002;317001007002;17;17001;76653;CALDAS;MIXTO;NOCHE;MANIZALES;NO OFICIAL;INST.EDUC CONTINUA CONFAMILIARES SEDE A;INST.EDUC CONTINUA CONFAMILIARES SEDE A;S;A1;S;17;17001;17;17001;CALDAS;CALDAS;Ninguno;01/06/1991;F;26;49.923737;MANIZALES;MANIZALES;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Técnica o tecnológica completa;No sabe;Estrato 3;0 A 10 LIBROS;Tres;No;No;No;Si;Si;47;265;57;59;43;62
20151;SB11201510032021;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;317001001896;317001001896;17;17001;6023;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;COL. SAN LUIS GONZAGA;COL. SAN LUIS GONZAGA;S;A1;S;17;17001;17;17001;CALDAS;CALDAS;Ninguno;23/09/1997;F;11;67.820137;MANIZALES;MANIZALES;COLOMBIA;NSE4;COLOMBIA;NO;N;Dos;Educación profesional completa;Técnica o tecnológica completa;Estrato 6;0 A 10 LIBROS;Tres;Si;Si;Si;Si;Si;46;190;54;35;35;31
20151;SB11201510082838;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;117001006279;117001006279;17;17001;5785;CALDAS;MIXTO;NOCHE;MANIZALES;OFICIAL;INSTITUCION EDUCATIVA INSTITUTO MANIZALES;INSTITUCION EDUCATIVA INSTITUTO MANIZALES;S;A-;S;17;17001;17;17001;CALDAS;CALDAS;Ninguno;16/05/1977;M;26;45.456707;MANIZALES;MANIZALES;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria incompleta;Ninguno;Estrato 1;0 A 10 LIBROS;Seis;No;Si;Si;No;Si;41;203;39;49;37;36
20151;SB11201510035532;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;117433000859;117433000859;17;17433;124537;CALDAS;MIXTO;MAÑANA;MANZANARES;OFICIAL;INSTITUCION EDUCATIVA MANZANARES;INSTITUTO MANZANARES;S;A1;S;17;17001;17;17433;CALDAS;CALDAS;Ninguno;16/04/1997;F;11;34.835922;MANIZALES;MANZANARES;COLOMBIA;NSE1;COLOMBIA;NO;N;Cuatro;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Nueve;No;No;No;No;No;28;203;50;49;41;41
20151;SB11201510096580;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;317174000739;317174000739;17;17174;130567;CALDAS;MIXTO;MAÑANA;CHINCHINA;NO OFICIAL;COLEGIO LATINOAMERICANO DE OCCIDENTE;COLEGIO BOSTON - SEDE PRINCIPAL;S;A1;N;17;17001;17;17174;CALDAS;CALDAS;Ninguno;27/08/1997;F;26;62.482376;MANIZALES;CHINCHINA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Técnica o tecnológica incompleta;Estrato 3;11 A 25 LIBROS;Tres;Si;Si;Si;Si;Si;49;264;50;62;53;48
20151;SB11201510032026;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;317001001896;317001001896;17;17001;6023;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;COL. SAN LUIS GONZAGA;COL. SAN LUIS GONZAGA;S;B1;S;17;17001;17;17001;CALDAS;CALDAS;Ninguno;26/10/1998;M;11;63.411823;MANIZALES;MANIZALES;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 6;0 A 10 LIBROS;Cinco;Si;Si;Si;Si;Si;61;318;74;66;64;60
20151;SB11201510006221;ESTUDIANTE;CC;RURAL;S;B;TÉCNICO/ACADÉMICO;417873000544;417873000544;17;17873;58867;CALDAS;MIXTO;COMPLETA;VILLAMARIA;NO OFICIAL;ASOCIACION COLEGIO GRANADINO;ASOCIACION COLEGIO GRANADINO;S;B1;S;17;17001;17;17001;CALDAS;CALDAS;Ninguno;11/10/1996;F;11;73.372154;MANIZALES;MANIZALES;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 6;11 A 25 LIBROS;Cuatro;Si;Si;Si;Si;Si;78;364;82;71;75;64
20151;SB11201510020403;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;317001007002;317001007002;17;17001;76653;CALDAS;MIXTO;NOCHE;MANIZALES;NO OFICIAL;INST.EDUC CONTINUA CONFAMILIARES SEDE A;INST.EDUC CONTINUA CONFAMILIARES SEDE A;S;A-;S;17;17001;17;17001;CALDAS;CALDAS;Ninguno;18/11/1997;M;26;54.813908;MANIZALES;MANIZALES;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 1;0 A 10 LIBROS;Tres;No;Si;Si;Si;Si;41;196;41;47;32;36
20151;SB11201510110911;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;317174000755;317174000755;17;17174;130658;CALDAS;MIXTO;SABATINA;CHINCHINA;NO OFICIAL;COLEGIO CEVAL - (CON ESFUERZO  VALOR  ALEGRÍA Y LUCHA);COLEGIO CEVAL - (CON ESFUERZO, VALOR, ALEGRÍA Y LUCHA) - SEDE PRINCIPAL;S;A1;S;17;17001;17;17174;CALDAS;CALDAS;Ninguno;23/02/1994;M;26;40.232357;MANIZALES;CHINCHINA;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;No sabe;No sabe;Estrato 2;11 A 25 LIBROS;Cinco;No;No;No;No;Si;41;256;50;58;56;50
