periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510097623;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;305001024544;305001024544;5;5001;638;ANTIOQUIA;MIXTO;SABATINA;MEDELLIN;NO OFICIAL;COL NUEVO CERVANTES CONOCER;COL NUEVO CERVANTES CONOCER;S;A1;S;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;Ninguno;24/08/1994;M;26;43.459351;MEDELLIN;MEDELLIN;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;Cinco;No;No;No;No;No;47;273;52;61;53;58
20151;SB11201510108394;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;105088003175;105088003175;5;5088;66506;ANTIOQUIA;MIXTO;MAÑANA;BELLO;OFICIAL;I.E. DE TRABAJO SAN JOSE;I.E.  DE TRABAJO SAN JOSE - SEDE PRINCIPAL;S;A1;S;5;5001;5;5212;ANTIOQUIA;ANTIOQUIA;Ninguno;27/12/1994;M;26;59.930077;MEDELLIN;COPACABANA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;Cuatro;No;Si;Si;Si;Si;56;263;50;54;41;60
20151;SB11201510073958;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;105266000061;105266000061;5;5266;169896;ANTIOQUIA;MIXTO;SABATINA;ENVIGADO;OFICIAL;INSTITUCION EDUCATIVA MANUEL URIBE ANGEL;INSTITUCION EDUCATIVA MANUEL URIBE ANGEL;S;A-;S;5;5001;5;5266;ANTIOQUIA;ANTIOQUIA;Ninguno;07/05/1997;F;26;45.160484;MEDELLIN;ENVIGADO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;Tres;No;Si;No;Si;No;42;195;43;41;41;31
20151;SB11201510088395;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;305001024544;305001024544;5;5001;638;ANTIOQUIA;MIXTO;SABATINA;MEDELLIN;NO OFICIAL;COL NUEVO CERVANTES CONOCER;COL NUEVO CERVANTES CONOCER;S;A-;S;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;Ninguno;07/11/1995;F;26;52.156403;MEDELLIN;MEDELLIN;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Primaria incompleta;No sabe;Estrato 2;0 A 10 LIBROS;Cinco;No;Si;Si;No;Si;34;168;43;33;35;29
20151;SB11201510008765;ESTUDIANTE;CC;URBANO;;B;ACADÉMICO;305001021163;305001021163;5;5266;130187;ANTIOQUIA;MIXTO;COMPLETA;ENVIGADO;NO OFICIAL;COLEGIO SAGRADO CORAZON MONTEMAYOR;COLEGIO MONTEMAYOR SAGRADO CORAZON - SEDE PRINCIPAL;S;B1;S;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;Ninguno;18/06/1996;M;11;72.583466;MEDELLIN;MEDELLIN;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 6;MÁS DE 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;62;313;78;63;62;58
20151;SB11201510068882;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;305360002522;305360002522;5;5360;130252;ANTIOQUIA;MIXTO;SABATINA;ITAGUI;NO OFICIAL;CORPORACION TECNOLOGICA EMPRESARIAL;CORPORACION TECNOLOGICA EMPRESARIAL - SEDE PRINCIPAL;S;A-;S;5;5001;5;5360;ANTIOQUIA;ANTIOQUIA;Ninguno;11/04/1998;M;26;45.785133;MEDELLIN;ITAGUI;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;Si;Si;35;195;42;42;34;44
20151;SB11201510099002;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;105001024571;105001024571;5;5001;114330;ANTIOQUIA;MIXTO;SABATINA;MEDELLIN;NO OFICIAL;COL VIDA Y PAZ SEDE CENTRO;COL VIDA Y PAZ SEDE CENTRO;S;A-;S;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;Ninguno;10/12/1996;M;26;43.783695;MEDELLIN;MEDELLIN;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria incompleta;No sabe;Estrato 1;0 A 10 LIBROS;Seis;No;No;Si;No;No;33;192;42;45;41;33
20151;SB11201510097535;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;105129000534;105129000534;5;5129;1503;ANTIOQUIA;MIXTO;NOCHE;CALDAS;OFICIAL;I. E.  PEDRO LUIS ALVAREZ CORREA;LICEO PEDRO LUIS ALVAREZ C;S;A1;S;5;5001;5;5129;ANTIOQUIA;ANTIOQUIA;Ninguno;11/09/1996;F;26;59.83215;MEDELLIN;CALDAS;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) completa;Primaria completa;Estrato 2;MÁS DE 100 LIBROS;Cinco;No;Si;Si;Si;Si;52;277;50;51;52;68
20151;SB11201510104020;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;105129000534;105129000534;5;5129;1503;ANTIOQUIA;MIXTO;NOCHE;CALDAS;OFICIAL;I. E.  PEDRO LUIS ALVAREZ CORREA;LICEO PEDRO LUIS ALVAREZ C;S;A-;S;5;5001;5;5129;ANTIOQUIA;ANTIOQUIA;Ninguno;26/12/1995;M;26;48.77211;MEDELLIN;CALDAS;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;No sabe;Estrato 2;26 A 100 LIBROS;Cuatro;No;No;No;Si;Si;33;207;40;44;50;39
20151;SB11201510022411;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;305001003688;305001003688;5;5266;182;ANTIOQUIA;MIXTO;COMPLETA;ENVIGADO;NO OFICIAL;COLEGIO CRISTOBAL COLON THE COLUMBUS SCHOOL;COLEGIO CRISTOBAL COLON THE COLUMBUS SCHOOL;S;B+;S;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;Ninguno;15/07/1997;M;11;73.141273;MEDELLIN;MEDELLIN;COLOMBIA;NSE4;COLOMBIA;NO;N;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 6;MÁS DE 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;64;344;100;56;77;68
