periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_tieneetnia;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20152;SB11201520159029;ESTUDIANTE;CC;RURAL;N;A;ACADÉMICO;244430001694;244430001694;44;44430;160572;LA GUAJIRA;MIXTO;MAÑANA;MAICAO;OFICIAL;INSTITUCION EDUCATIVA INDÍGENA NO. 2;LA PAZ - SEDE PRINCIPAL;S;A-;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Wayúu;22/09/1995;M;11;28.296604;MAICAO;MAICAO;COLOMBIA;NSE1;COLOMBIA;NO;N;Si;Uno;Ninguno;Ninguno;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;No;40;182;38;36;33;36
20152;SB11201520576129;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;144001001843;144001001843;44;44001;114215;LA GUAJIRA;MIXTO;TARDE;RIOHACHA;OFICIAL;ISABEL MARIA CUESTA GONZALEZ;ISABEL MARIA CUESTA GONZALEZ;S;A-;S;;;44;44001;;LA GUAJIRA;;13/04/1998;M;11;43.470901;;RIOHACHA;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Dos;Primaria completa;Ninguno;Estrato 1;0 A 10 LIBROS;Cuatro;Si;Si;No;Si;No;42;220;38;46;47;43
20152;SB11201520559774;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;344430002920;344430002920;44;44430;103275;LA GUAJIRA;MIXTO;MAÑANA;MAICAO;NO OFICIAL;INST. PENTECOSTAL #2 NUEVA JERUSALEN;INST. PENTECOSTAL #2 NUEVA JERUSALEN;S;A1;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;;26/01/1998;M;11;45.988106;MAICAO;MAICAO;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Dos;Técnica o tecnológica incompleta;Técnica o tecnológica incompleta;Estrato 2;0 A 10 LIBROS;Tres;No;No;No;Si;No;40;226;54;49;39;50
20152;SB11201520017825;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;144874000517;144874000517;44;44874;47563;LA GUAJIRA;MIXTO;MAÑANA;VILLANUEVA;OFICIAL;I. E. TÉCNICA PROMOCION SOCIAL;INST. EDUC. PROMOCION SOCIAL DEL S;S;A-;S;44;44874;44;44874;LA GUAJIRA;LA GUAJIRA;;13/12/1998;M;11;41.79427;VILLANUEVA;VILLANUEVA;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;Si;No;No;No;41;220;46;45;42;47
20152;SB11201520489155;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;144001000545;144001002114;44;44001;81935;LA GUAJIRA;MIXTO;NOCHE;RIOHACHA;OFICIAL;JOSE ANTONIO GALAN;COOPERATIVO;N;A-;S;44;44001;44;44001;LA GUAJIRA;LA GUAJIRA;;18/06/1997;M;26;45.659546;RIOHACHA;RIOHACHA;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Tres;No;No;No;Si;Si;45;215;32;44;49;38
20152;SB11201520553777;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;244001000671;244001000671;44;44001;42663;LA GUAJIRA;MIXTO;MAÑANA;RIOHACHA;OFICIAL;LUIS ANTONIO ROBLES;LUIS ANTONIO ROBLES;S;A-;S;44;44001;44;44001;LA GUAJIRA;LA GUAJIRA;;31/07/1998;M;11;44.767338;RIOHACHA;RIOHACHA;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;Si;No;No;Si;No;47;212;44;42;37;43
20152;SB11201520200333;ESTUDIANTE;CR;URBANO;N;A;TÉCNICO/ACADÉMICO;144874000517;144874000517;44;44874;47563;LA GUAJIRA;MIXTO;MAÑANA;VILLANUEVA;OFICIAL;I. E. TÉCNICA PROMOCION SOCIAL;INST. EDUC. PROMOCION SOCIAL DEL S;S;A-;S;44;44874;44;44874;LA GUAJIRA;LA GUAJIRA;;07/12/1996;M;11;38.403423;VILLANUEVA;VILLANUEVA;COLOMBIA;NSE1;COLOMBIA;NO;N;No;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Tres;No;No;No;No;No;40;203;43;40;40;42
20152;SB11201520180972;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;144430000511;344430001516;44;44430;166645;LA GUAJIRA;MIXTO;NOCHE;MAICAO;OFICIAL;INSTITUCION EDUCATIVA NO. 4;ESC. URB. MIXTA COMUNAL MAREIGUA;N;A-;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Wayúu;04/09/1995;F;26;23.890295;MAICAO;MAICAO;COLOMBIA;NSE1;COLOMBIA;NO;N;Si;Dos;Ninguno;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Ocho;No;No;No;No;No;34;191;38;41;32;46
20152;SB11201520580466;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;144430000499;144430000499;44;44430;77214;LA GUAJIRA;MIXTO;NOCHE;MAICAO;OFICIAL;INSTITUCION EDUCATIVA NO. 3;I.E. NO. 3 - SEDE PRINCIPAL - SANTA CATALINA DE SIENA;S;A-;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;;21/08/1997;M;11;46.325867;MAICAO;MAICAO;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;Cinco;No;No;No;Si;Si;34;164;43;30;26;38
20152;SB11201520388658;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;144078000033;144078000033;44;44078;42655;LA GUAJIRA;MIXTO;MAÑANA;BARRANCAS;OFICIAL;INSTITUCION EDUCATIVA TÉCNICA REMEDIOS SOLANO;REMEDIOS SOLANO;S;A1;S;44;44279;44;44078;LA GUAJIRA;LA GUAJIRA;;08/07/1998;M;11;49.105732;FONSECA;BARRANCAS;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Tres;Educación profesional incompleta;Técnica o tecnológica completa;Estrato 1;11 A 25 LIBROS;Cinco;No;Si;No;No;Si;47;266;53;46;59;61
